"","1: upregulation, -1: downregulation","Symbol","Atha_Col0_Root_ZoneII-Atha_Col0_Root_ZoneI","Atha_Col0_Root_ZoneI_Rep1","Atha_Col0_Root_ZoneI_Rep2","Atha_Col0_Root_ZoneI_Rep3","Atha_Col0_Root_ZoneII_Rep1","Atha_Col0_Root_ZoneII_Rep2","Atha_Col0_Root_ZoneII_Rep3"
"1","AT1G01010",NA,-1,6.52005207481251,5.33067163398497,6.45655438770013,2.98509356132758,3.68439421711745,3.3073509141123
"2","AT1G01040",NA,-1,7.27771096480484,7.03717163495635,7.37330987407708,5.33053481341312,5.37131190501906,5.10771221027807
"3","AT1G01070",NA,-1,8.8002790978492,8.91294283441795,8.16811698890823,2.79458742755624,2.57725916238943,2
"4","AT1G01080",NA,-1,5.63919777466832,6.90190818081123,6.70590418952832,4.56003217684096,4.30337050969142,4.56467639936915
"5","AT1G01090",NA,1,8.83458594546727,8.97041876295283,9.19210654691335,10.4569509232864,10.7655367730106,10.5615876524188
"6","AT1G01100",NA,1,9.99609424113172,10.2276697093113,10.2287749790637,11.8214229248077,11.9873162919358,11.8332410075622
"7","AT1G01110",NA,1,4.363170785048,4.36822790069519,4.21882629394948,6.10104387086151,6.95478878622099,6.63480703647497
"8","AT1G01120",NA,-1,6.96505051880644,6.36393473725633,5.05489903341069,2,2,2
"9","AT1G01140",NA,-1,5.05566491276035,5.67293872367088,6.35713742714682,2.57504200771636,2.79744305380934,2.57688225760799
"10","AT1G01200",NA,-1,6.637766717749,6.92535123275494,6.51921941576776,5.10277115965402,4.06972902610483,4.37261490041479
"11","AT1G01210",NA,1,7.44854112180531,7.30184859299891,7.17350316586673,8.04729564317263,8.8411526621048,8.60886510532585
"12","AT1G01240",NA,-1,5.42665909010055,5.14345196596359,4.14125922303627,3.67975877150967,3.98260928360014,4.06885818053435
"13","AT1G01320",NA,1,4.72420053635125,3.88508554758949,2.98163750770034,5.2585362144781,5.95553178720823,4.83699025978834
"14","AT1G01340",NA,-1,5.52160472722065,5.43235124137865,4.82617409434798,2,2,2.7969577013078
"15","AT1G01360",NA,-1,7.51927512153713,7.62899134663751,7.65026560300193,6.55625519114705,6.37019783382498,6.24368533616058
"16","AT1G01370",NA,1,3.56100236211086,2.98516873523371,3.43602034392787,6.21955191433758,7.02186920021373,6.63480703647497
"17","AT1G01440",NA,-1,5.77387191296352,6.60075676884129,6.28683712759358,5.18275487408347,5.37131190501906,4.22871624298854
"18","AT1G01470",NA,-1,9.58431446155372,9.33668820582963,9.08224867771913,5.75359185133319,6.40411924687698,6.31668578422228
"19","AT1G01480",NA,-1,6.53530247886574,5.46471197082843,5.2149013986165,2,2,2
"20","AT1G01500",NA,-1,5.25305459693437,5.22127869479436,4.77573178164843,3.67975877150967,3.79079710592449,4.83699025978834
"21","AT1G01510",NA,1,6.62356703436966,6.64378971912664,7.33026783031122,7.97612728098597,8.11664902884792,7.78341609401174
"22","AT1G01550",NA,-1,9.8251529838664,9.59786964078234,9.74292800007292,8.06850558188824,7.64965001492437,8.0039049501135
"23","AT1G01610",NA,-1,4.92281317311002,3.4405288610411,3.67495202601384,2,2,2
"24","AT1G01620",NA,-1,13.0977095715216,13.2426795867724,13.0011177078378,11.0355041506989,10.2576115609556,9.76200321585501
"25","AT1G01640",NA,-1,6.25118407105562,5.94937488751666,5.2149013986165,3.88497475691208,2.57725916238943,2
"26","AT1G01660",NA,-1,6.53530247886574,5.18289006579203,5.5208099415092,3.30402179672477,3.56951447081235,2.98786260079035
"27","AT1G01700",NA,1,2,2,2,2.57504200771636,3.68439421711745,2.98786260079035
"28","AT1G01710",NA,-1,6.40853170687298,6.90190818081123,6.65099202995652,5.0610525248091,5.40520743874958,5.50132041393395
"29","AT1G01725",NA,-1,5.63919777466832,5.33067163398497,5.55111735364424,4.06460195959799,3.79079710592449,3.98175539317281
"30","AT1G01750",NA,-1,10.3027581604975,10.0174212249623,10.5433946635905,6.08031035863984,5.10872288688966,5.4041721342729
"31","AT1G01760",NA,1,3.14998595522311,2.57509195118905,2.98163750770034,4.78170593427276,4.88677571580029,4.78648500556075
"32","AT1G01770",NA,-1,6.52005207481251,5.5576543043621,5.72069640181459,3.67975877150967,3.79079710592449,4.30245893803749
"33","AT1G01780",NA,-1,8.8529605216863,8.1203547949642,8.51418436518503,5.8547260970506,5.90903790928135,4.50345349069216
"34","AT1G01790",NA,-1,6.40853170687298,6.39784873889106,6.54955991020499,5.29498460923676,5.26456802033832,5.78473214127211
"35","AT1G01900",NA,-1,6.44128392607972,6.64378971912664,6.03136092363369,3.15335274431481,3.15706315760414,2.31708538173783
"36","AT1G01920",NA,1,6.0745504281885,6.32920427442475,6.78454192068327,7.65711990072143,7.50083653260308,7.54599531502793
"37","AT1G01940",NA,1,6.72014933314198,6.60075676884129,6.28683712759358,7.54809435993158,8.08562935406404,8.03668642044807
"38","AT1G01970",NA,1,3.67555004135357,2,3.14950773014738,4.43495844000893,4.44044948341212,5.10771221027807
"39","AT1G02000",NA,-1,7.16457535802944,7.12077892941572,7.03024463070334,6.25698579796802,5.81129825038641,5.7323296802703
"40","AT1G02050",NA,1,3.30038195637635,2.98516873523371,3.14950773014738,5.01809148994883,4.44044948341212,4.56467639936915
"41","AT1G02060",NA,1,2,2.31601387266272,2,4.22432010771876,3.56951447081235,4.56467639936915
"42","AT1G02090",NA,1,7.63705065661983,6.98234453470116,7.60041525527714,8.36699566051536,8.46887880313073,8.31131700219015
"43","AT1G02110",NA,1,5.13788889817712,5.70037580411302,3.97236786774826,6.25698579796802,6.59243103188165,6.94219300974236
"44","AT1G02120",NA,-1,7.74593293713353,7.48654161429612,7.5711363772352,6.58597680686886,6.45355122821254,6.67700720420147
"45","AT1G02160",NA,1,7.49608033295629,6.84157774551125,7.36480358359854,8.23252083892973,8.26246795656155,8.25206381757178
"46","AT1G02170",NA,-1,7.72613363813579,7.39714862489596,7.47165552952197,6.51049216691885,6.53235069386696,6.45246017011986
"47","AT1G02220",NA,-1,6.96505051880644,6.55640065584297,6.48822711544573,5.2585362144781,5.10872288688966,4.88578708688699
