Sample.Name,Atha_Col.0_Root_Zone.I_Rep1,Atha_Col.0_Root_Zone.I_Rep2,Atha_Col.0_Root_Zone.I_Rep3,Atha_Col.0_Root_Zone.II_Rep1,Atha_Col.0_Root_Zone.II_Rep2,Atha_Col.0_Root_Zone.II_Rep3
AT1G02305,754.4764456,584.5822725,565.405137,95.74247802,82.91322116,71.23820373
AT1G02310,9.452390322,6.217549991,1.164369889,0,0,0
AT1G02330,84.56220914,147.3680595,147.958323,190.0948659,226.6028594,212.8057982
AT1G02340,12.53902017,20.61960619,11.58447999,15.50338093,20.47457021,12.87418349
AT1G02360,142.0285182,40.63113885,44.36785674,1.850150302,6.014968032,4.337813925
AT1G02370,3.139536851,5.158564861,6.976488527,54.51982407,63.30081957,66.97071081
AT1G02390,0,0,0,5.450107678,3.06216135,11.16217676
AT1G02400,21.17986374,55.25224602,43.44525287,0,0,0
AT1G02410,105.6341674,131.1529507,110.0919452,184.0343522,214.9159024,165.8923034
AT1G02420,12.54459556,9.280749124,5.798492186,6.377001141,4.091708158,6.008608573
AT1G02450,17.62380131,21.56998521,2.273515684,2.787623943,0,0
AT1G02460,193.6342763,218.7386373,202.3933079,18.16668788,15.31059555,17.17261217
AT1G02475,20.86672168,10.30248478,15.00470283,13.72881257,8.211692792,23.16482828
AT1G02500,9271.962925,7593.081896,5331.679109,2284.412126,1511.369062,1828.279461
AT1G02520,74.4329492,70.21357754,68.89700913,24.43162029,41.730531,39.51225777
AT1G02560,179.7821745,277.3742185,191.2890236,378.1835623,400.057371,356.213132
AT1G02575,71.96791655,13.3912821,44.98050717,0,0,0
AT1G02640,89.03770663,101.1522467,82.74581158,20.85229218,18.34698694,16.31710921
AT1G02660,4.190245841,19.61166171,19.8151056,3.62599929,6.115053236,0
AT1G02670,18.55839452,0,0,3.331589293,16.19187118,6.919436514
AT1G02680,59.37865244,46.32756196,28.74836608,78.08168692,71.01758494,84.9048605
AT1G02690,119.8085522,20.71730989,37.8081665,184.1838548,260.2409412,166.5585469
AT1G02700,10.44774899,25.77285368,8.106436977,0,0,0
AT1G02710,16.07671022,25.27055342,10.61879857,0.99551411,0,0
AT1G02720,270.37643,329.3392547,214.1273401,132.6401807,121.9214588,157.6062287
AT1G02730,37.73534161,0,0,64.26763097,189.3612392,97.05945518
AT1G02740,64.82273062,47.43800795,42.9232948,36.42799434,28.63495874,53.22091284
AT1G02750,191.4134159,149.1283447,141.2972374,35.47771799,16.22953902,38.13148649
AT1G02780,3680.281464,4460.193364,4469.214573,11789.73741,14428.02498,13309.0152
AT1G02810,40.82347997,47.46392908,95.39944491,30.87746421,96.95334569,82.43014462
AT1G02816,430.8015661,440.3694688,568.5849395,421.5514755,387.5247334,474.708094
AT1G02840,130.3633059,184.2167036,151.7370683,314.7647442,324.0233187,342.1067629
AT1G02850,145.2352833,85.90046707,48.77192968,99.47287117,72.40832378,22.83661615
AT1G02860,25.0857991,37.11816306,30.14767929,13.67390763,9.205336961,19.74004148
AT1G02870,79.11747281,102.9168842,113.6569686,466.4903259,517.2977402,403.871347
AT1G02890,138.2018591,170.4691631,107.8604308,69.46343611,64.60808312,92.73129178
AT1G02900,2713.12947,2521.56617,1941.752809,24.83761583,1.030318544,0
AT1G02910,40.88747722,61.63620284,33.74401737,30.11632735,30.74843943,23.03375532
AT1G02950,85.2016686,121.5434518,51.36078602,5.748321088,1.031343242,3.439787744
AT1G02960,88.26409693,89.08150508,75.57558036,130.1828351,92.25475559,122.8526494
AT1G02970,21.97321571,8.253085244,0,23.63431806,73.53154449,47.22108719
AT1G03000,59.72940648,48.5199778,89.81841498,44.38592546,35.65171567,28.34272544
AT1G03010,72.79339871,45.28679205,51.19689266,18.74331631,6.38379069,2.685980298
AT1G03030,60.92401915,101.5543753,81.30892764,73.68767875,63.99995095,54.77188859
AT1G03040,199.895603,221.5646795,196.9191163,67.97483068,73.18339712,72.5726986
AT1G03060,197.7481203,210.7124827,233.5026256,158.5571431,197.7327465,188.1834504
AT1G03070,22.22372765,10.44852093,11.33042008,1.855067286,0,0.870067595
AT1G03080,325.4697562,365.1578828,327.8971179,152.1696074,115.1193059,101.516048
AT1G03090,117.9076242,51.79679621,32.57527288,43.66539209,69.97293459,57.90557507
AT1G03100,12.57048514,6.193098744,5.827686314,32.63555298,29.55713952,40.36372787
AT1G03110,21.95678465,78.37700192,55.68857823,189.4112412,323.1478417,212.8853098
AT1G03130,8.337851341,1.029734878,3.453792942,3.670241589,1.02837309,2.573186497
AT1G03150,155.0345084,235.6239417,209.8420707,303.0714512,372.3262379,336.9453471
AT1G03160,35.60621106,8.42533753,28.54107126,32.37487819,16.82231339,45.44487423
AT1G03180,26.55281736,19.16635418,30.56189848,50.23431302,74.216132,46.14012198
AT1G03190,34.94162322,30.25930055,19.37976719,33.00940308,37.90026525,30.38677173
AT1G03200,12.33126104,3.068177106,5.568272333,0,0,0.854621249
AT1G03210,181.8589692,128.6339648,52.81170167,278.8164229,234.9759603,209.0513727
AT1G03220,537.814446,187.756688,130.1730306,489.0619213,503.4970135,602.7111046
AT1G03250,129.7678321,93.97601495,82.22896979,108.4464803,133.3291599,117.6176394
AT1G03260,68.97771791,39.18073004,84.60569861,70.18947574,101.315202,99.56500653
AT1G03270,11.5066471,17.5355851,0,19.10162054,27.58757472,30.90629935
AT1G03280,172.507593,193.7193928,131.2202516,163.3748974,141.1313261,148.3564306
AT1G03290,134.7302684,104.3964993,108.5428524,65.4447382,51.95290647,70.48318704
AT1G03300,2.09312048,3.095204833,16.28029079,5.451388109,5.104491922,6.868867276
