"","leaf_FLT_Rep1","leaf_FLT_Rep2","leaf_FLT_Rep3","leaf_GC_Rep1","leaf_GC_Rep2","leaf_GC_Rep3","root_FLT_Rep1","root_FLT_Rep2","root_FLT_Rep3","root_GC_Rep1","root_GC_Rep2","root_GC_Rep3"
"AT3G09260",11.0712178802652,11.1026408420034,10.5521904600329,16.9542195717936,17.0245221620973,16.5680683052205,10.0321862949844,10.3680419169952,10.2023889268675,16.7587304755754,16.8939346856533,16.7434346378646
"AT1G21310",12.9319377175933,12.5109285998375,13.5507555808098,16.1572928732172,16.0870690043969,15.9661078204318,11.992197232217,11.9880918210853,11.8888005517971,16.0336043773623,16.2630537719011,16.1036740113974
"AT4G30190",12.7248131214253,12.6081182497542,12.5182938545399,14.8309784652195,14.6042284274603,14.6285298057604,12.5766874815168,12.5800647982956,12.6443243560139,14.9504261967421,14.92074767304,14.8233794213216
"AT3G16400",12.4330121765479,12.1744404266161,12.1645461875901,14.6951660539019,14.9375623729147,14.4870559697396,11.9674307470719,12.2235402529255,11.8568120822697,14.6034685239587,14.7601098947991,14.6153504438404
"AT1G07590",13.3581433684725,12.9961082925601,13.1236000211131,15.1526511563468,14.9229333032897,14.7595711120744,13.3979118891674,13.4442452621313,13.4990793908185,14.760606881156,14.9148427397453,14.8412685125866
"AT4G37410",5.62501577672595,5.49425901237974,5.93569990014345,14.2073996545235,14.3469545488381,14.0294390000176,4.52940803639829,4.65084619540946,5.0467898329766,14.2610811943911,14.4260381673768,14.321969826615
"AT1G70850",5.36767981527844,5.32430469465119,4.81190769403744,14.0775075929223,14.398118278927,13.9683571631562,4.39804652090171,4.81448722882316,4.70274653735452,14.1593363372244,14.2840910180046,14.1317301178086
"AT1G73330",7.35079251420955,7.0686508666345,7.32710575094635,13.9691164280016,14.4121747730632,13.8959090343677,6.54592909476396,6.59293449360822,7.42051465611353,13.5783022455564,13.7378648807538,13.8250529436136
"AT3G52930",12.9430582822907,12.8053572440363,12.7139598408606,14.334811711507,14.2665644326595,14.513854068095,13.0373927300226,12.9854144963261,13.0271716615494,14.596124811632,14.4992048037524,14.5125243423967
"AT1G28290",12.6867276739179,12.4727890004515,12.1783580391171,14.3010093629335,14.5294894953904,14.1285313034564,12.0179447049134,12.2748046270489,12.077199319981,14.1991128738081,14.0593948802328,14.2377539765065
"AT1G32450",9.23031198139427,9.42047751274015,9.65094213563214,14.2260918204548,14.0159287003805,13.8476343185091,10.0690935546156,10.129821341233,10.548648327611,13.6913849473644,13.5805451854872,13.8372821087186
"AT5G53460",12.8691934367232,13.4461010899027,13.6034773046102,14.4086980274068,14.4637787391638,14.4428344814752,13.099167003786,12.9305260477877,12.9056647457568,14.5678961904097,14.5164284430302,14.5835873574263
"AT5G03240",13.2903892355743,13.2735186526368,13.2591554869038,14.7316635911388,14.4464396950438,14.122074159349,12.4815353256383,12.5883351536945,12.8941284078751,14.3817726814884,14.2448390736101,14.3433239759944
"AT4G11320",9.50100425225281,8.62466546227569,8.55984263565535,13.6973755433642,13.8863379899241,13.4887331687812,7.43317446182491,7.58557273208532,8.36901504940677,13.596242772639,13.7782657482195,13.6629060419736
"AT5G13930",11.5980437186824,11.2857245435481,11.2299059940893,13.4943643582993,13.5029115593273,13.2795828381689,12.5318555823685,10.7673544001023,10.4014614678521,13.7113832628148,13.7593399104064,13.8210190946018
"AT3G14990",11.3807989154179,11.663078815281,11.9080565801546,13.7856480796998,13.6225096950754,13.5652408724675,11.1919370395546,11.1362971015307,10.9327183241525,13.6110056753313,13.5865937222902,13.5360057788507
"AT3G14940",6.9177365115165,6.79696122468693,7.00514452506205,13.3272549416957,13.1530257416105,13.1500094651815,6.8894776471686,6.38295728487327,7.07946075016042,13.3331175120519,13.4154935876521,13.3589512879148
"AT1G35720",12.1272273860908,11.5861899170922,11.7199786915965,13.8031525327786,13.6532852882237,13.613778045453,11.6821401098267,11.4860642383131,11.4067989615356,13.5736359874157,13.609738058899,13.5988409009019
"AT2G43150",11.3747887451404,11.7537629470361,12.2895516717316,13.4804252123431,13.3985844316057,13.3174760736163,10.8781939354877,10.851435455826,10.7195388337826,13.2929449983212,13.6615687606306,13.4619928590863
"AT1G11580",10.3510339744602,10.4548741335157,10.7948318390278,13.1973942963073,13.4666925121585,13.2956817285798,10.464434624801,10.329092214652,10.3939613232841,13.0743575080369,13.3162289900529,13.2905830706886
"AT2G37040",11.6446537674192,11.7466302095567,11.8314555481617,13.4258814052519,13.28540391516,13.2946896547742,12.7692441402147,11.8088038039866,11.55106249547,13.7434175099439,13.7092581872553,13.6223238838912
"AT5G17330",8.3861232496167,9.36237392418501,9.52098104643344,13.064388448386,13.0090003092259,13.067280387865,8.19680171243681,8.50807184537126,8.17261302262153,13.1451003100216,13.1976689865289,13.132051566373
"AT3G01420",4.40140575019152,4.7026742382322,5.67731973593392,12.8153040369818,13.2174292190193,12.8335584524286,4.39804652090171,4.76197589032441,3.90889005195825,13.0018777924689,13.1029784392516,13.1207300588103
"AT3G15950",10.0705210298144,9.93484437637359,9.80618630350074,13.0384600966387,13.2282123808702,13.0536055312417,10.1529810542383,9.92266835782226,9.54767569516045,13.2021431353129,13.3218181079955,13.2137189224651
