"","1: upregulation, -1: downregulation","Symbol","Microgravity-Terrestrial","leaf_FLT_Rep1","leaf_FLT_Rep2","leaf_FLT_Rep3","leaf_GC_Rep1","leaf_GC_Rep2","leaf_GC_Rep3","root_FLT_Rep1","root_FLT_Rep2","root_FLT_Rep3","root_GC_Rep1","root_GC_Rep2","root_GC_Rep3"
"4319","AT4G11720",NA,-1,3.81537700128843,3.90882737957716,3.70411807213467,3.79777133610471,4.31318023566275,4.56981140723229,3.58968223328991,3.59051289482057,3.17143999550176,4.23354445144225,3.79677502094183,4.23459473962126
"4320","AT4G11780",NA,-1,3.17616824732323,4.0019807715823,3.00265752938261,6.60182574706266,6.13942270848279,6.78980840905902,3.32617654841408,4.25449802355091,3.90889005195825,6.98233070909513,7.12514059297306,6.8291724433532
"4321","AT4G11820",NA,-1,10.2059371767288,10.276427500628,10.1332855463319,10.5640292447306,10.8345707934096,11.1098265565059,10.0663918282263,10.0292656131028,10.263636500704,11.205186240707,11.0969810038359,11.1020625746461
"4322","AT4G11830",NA,-1,8.8152494806935,9.01384723048398,9.04966413660392,9.61781022108931,9.52049769907794,9.4474695263946,9.16689581100919,9.03339348983564,9.19500003858029,9.62750722176258,9.73677956438592,9.61071080366512
"4323","AT4G11850",NA,-1,9.73908620413352,10.1137665543759,10.400828567914,10.4450100685453,10.594564582738,10.4876614402617,9.42699279265715,9.22258087406503,9.54187001467847,10.5705194330584,10.5785960428207,10.6188517929509
"4324","AT4G11950",NA,-1,3.32866963522983,3.70226821919267,4.0915253186105,5.57265195098889,5.4818860506437,5.62712020927067,3.70534067089496,3.00416479619983,3.58678030277605,4.93832034746173,4.84520242853023,5.02954520363672
"4325","AT4G11960",NA,1,9.83134797745029,9.90198629852024,9.95365594470699,8.56035397124653,8.50092989229767,7.96508262324462,9.83676553841804,9.58002665328971,9.83085034544063,8.04812028840288,7.98539927119609,8.20732010692906
"4326","AT4G11980",NA,1,8.47052308748974,8.44969341571635,8.43570126874607,6.92951847002358,6.66191291477992,6.75065580723188,8.35571539000024,8.46765497326905,8.3064721208643,6.84037102870572,6.81857940243728,6.81657759393161
"4327","AT4G12010",NA,-1,7.21058669490007,7.60249887409713,7.71945472634818,8.22991724241589,8.12363954101084,8.12161062735059,7.34674957889209,7.0955364930585,7.16252100423257,8.05884466567125,8.29369347731723,8.26408042456496
"4328","AT4G12040",NA,-1,9.0390388247663,9.01942834170473,9.17770093599412,10.0296435415965,9.87479968249957,9.83050189927294,8.88965706849256,9.69827541179048,8.95107102552445,9.88872420151681,10.1400367426837,9.75135325491974
"4329","AT4G12060",NA,1,10.2555454466043,10.3223042891372,10.1486746403767,7.47871809623342,7.43225285941377,7.44164732644864,10.2993729451113,10.2913793318206,10.2170357963965,7.41680975745454,7.54007237325006,7.47532192630911
"4330","AT4G12080",NA,-1,5.53380835578876,5.49425901237974,5.81228644397039,9.43579096609756,9.32674667504805,9.31283013620368,5.56106199410413,5.53115819076445,5.39478388517187,9.43513250078758,9.30267240971236,9.31635173724518
"4331","AT4G12110",NA,-1,8.86287074788863,8.72712933207863,8.57890171149136,9.59211390697925,9.75065871528434,9.52879190186765,8.85563553258043,8.8026587506352,8.91559258117915,9.26727701142373,9.18002494504178,9.38193539123038
"4332","AT4G12120",NA,-1,7.03324238978989,7.14211693818784,7.18507303678816,7.85716051340925,7.81579890088298,7.69639384758141,6.78817691171316,6.76289790037375,7.17257519792032,7.78943983230348,7.83091565360505,7.73160016466862
"4333","AT4G12270",NA,-1,4.70993793126972,4.0019807715823,3.81114989574191,7.37920384293858,7.4811540439139,7.44164732644864,3.32617654841408,2.58774036698151,4.00204486634981,7.52904421952953,7.5629073678934,7.68385768021761
"4334","AT4G12290",NA,1,9.94486341147777,10.181296171439,10.2074159981544,4.63257928464403,6.1595919988179,5.91373737321078,9.61806252346917,9.38113262599728,10.4131691926339,4.93832034746173,5.41281740214444,5.11431645627154
"4335","AT4G12300",NA,1,9.4644253293921,9.33129894149273,9.40188349682814,7.70792012888529,7.8961305258635,7.48999662878408,9.36238182388659,9.2703584179106,9.3110476934029,7.46598308285197,7.60752085101879,7.53804160202753
"4336","AT4G12310",NA,1,9.66221455590108,9.9841972695308,10.0359570392824,4.0772003552805,4.79798018133686,4.23357782525519,10.037713972543,9.60446449814395,9.39287856689097,3.68783463669821,3.79677502094183,4.5708853920316
"4337","AT4G12460",NA,-1,8.16587972161148,8.08475052830623,8.39756449369763,8.88754483766956,8.96068794192865,8.90081409940226,7.93177016370926,7.92106927933226,8.05796732835928,8.95918273352083,9.04056085601504,9.02213923751642
"4338","AT4G12510",NA,-1,2.32417877708419,2,2.32299169415158,8.40457545662202,7.96651113678291,8.126716599933,2,2,2.32247367604027,8.88880069007976,8.57777785695135,8.47913438646669
"4339","AT4G12530",NA,-1,2,2,3.17287750991345,3.45089661381529,2.99453880710799,3.31103537112543,2,2,2.32247367604027,3.68783463669821,3.16170290361301,2.99157022835118
"4340","AT4G12545",NA,-1,2,2,2,7.61619435737927,7.81579890088298,7.68950913083655,2.32334563661313,2,2,8.20600436812496,8.32520038580411,8.2547740980439
"4341","AT4G12580",NA,-1,2.32417877708419,2.32245656660927,2.32299169415158,3.89705057386264,3.69287254952142,3.31103537112543,2.32334563661313,2,2.32247367604027,3.44784922986616,3.16170290361301,2.57934812936617
"4342","AT4G12590",NA,-1,9.8456405524625,9.6978559876986,9.71091716838274,10.2960839819722,10.3008397477748,10.3071620568723,9.44790237532734,9.85063180894803,9.91859394719438,10.3349600805552,10.2128320027635,10.1828211072464
"4343","AT4G12600",NA,-1,10.6950631578154,10.4466123924308,10.3350900368693,11.0241377220337,10.9918932909888,11.2509558639835,10.184468984254,10.308643855843,10.4163457877577,11.1264477916496,11.0653451751481,11.0404377147108
"4344","AT4G12620",NA,-1,7.63304336151322,7.62463867970135,7.1240987072638,8.01467792546117,8.27921608301693,8.35270822858384,7.36445370569467,7.53951973070394,7.29727720940141,8.21562073905948,8.05685037666024,8.2547740980439
"4345","AT4G12690",NA,1,7.3238202594741,8.12672391529637,8.22440754468007,5.82040199099237,5.57493446865823,5.62712020927067,6.76169994764197,7.35684221814807,7.20232408519914,5.56824869632959,6.00845139042512,5.59918854227292
