"","1: upregulation, -1: downregulation","Symbol","Microgravity-Terrestrial","FLT_Rep1","FLT_Rep2","FLT_Rep3","GC_Rep1","GC_Rep2","GC_Rep3","LN2_Rep1","LN2_Rep2","LN2_Rep3","RNAlat_Rep1","RNAlat_Rep2","RNAlat_Rep3"
"1","AT1G01070",NA,-1,5.36827222856734,5.81759720481541,6.23281680774679,7.18607493408358,7.30331956938426,7.53158230572742,6.27619098420757,7.18186906167569,7.25244928443876,7.67101269628957,7.18042062441535,7.94630458900052
"2","AT1G01640",NA,-1,5.95238371725338,6.94140427204375,7.17374459498272,7.76777498867006,8.4611193574905,8.49605803590172,6.74553751154187,7.49979469268894,7.15494206562206,8.60511531360329,8.13977546134526,8.30564298574373
"3","AT1G02360",NA,-1,7.97381967732512,8.34180755768552,9.21434403416131,9.63201718779097,9.64947076821075,9.78483919809623,9.34790059682694,10.1029851066558,11.4185772223564,8.81784321545014,10.8057235890269,8.73335216570898
"4","AT1G02520",NA,-1,6.90501754346568,7.01068382145376,7.69663245518334,8.58370295861986,8.24696094831146,8.34005275216249,11.2687543296662,8.60661331830488,10.4847907216361,7.68530088789271,9.80240065956807,7.60795609523053
"5","AT1G02860",NA,-1,6.55948093236979,7.46198714875396,7.00118979938044,8.23987597949498,8.15255210470058,8.29482341746287,7.96772375651036,8.65011247068204,8.4170526400803,8.17489774341007,8.04318129615888,8.24923579576203
"6","AT1G02950",NA,-1,3.4425613516422,4.59415763312787,4.92831041974384,5.13490018886392,6.01724359022594,5.24811118949698,6.31270437274214,7.23044180112386,7.08254088364126,6.20907962273288,6.97465562794208,6.03722423347768
"7","AT1G03010",NA,-1,3.30602717585139,3.70808286518243,4.34171148380495,5.39805515419344,5.5714190548381,5.67261452582684,3.89977572644473,5.60719912732278,4.5807375977605,4.71768898355502,4.82549066308108,5.22357615644076
"8","AT1G03090",NA,-1,8.59938094265043,8.51075164656666,8.63546150680013,9.91470666550968,10.2650663195222,10.1139467084697,10.0223721325798,10.3305814890131,10.1673737475872,10.0481919792345,10.2317368389425,10.0367446332569
"9","AT1G03840",NA,-1,4.37082225685945,4.59415763312787,5.06611127784682,5.59077557670497,6.083383946788,5.78155006826666,5.0358638568645,5.24061054577884,5.82817511170637,5.80025184530194,6.5901081977441,5.87272043929953
"10","AT1G03850",NA,-1,7.89270717455265,8.66912986220924,8.86682415594665,9.57995435513721,9.84644195722306,9.78973800066474,9.37189056362476,10.0142191322475,9.99494847447327,9.62017206707438,10.6069831659851,9.19313609068342
"11","AT1G04490",NA,-1,3.78840528509246,4.00827825195388,4.41233470183118,4.39745225594343,4.53876706650632,4.58513357230252,4.79903537153553,4.80034613802585,4.45528364263066,5.06230453296114,5.51112312416551,5.40664299718257
"12","AT1G04770",NA,1,9.79050293364401,9.59968471597726,9.37988874661159,9.92368628760464,8.38448662012569,9.32887893384623,7.57545465896153,7.91676730155466,7.73649057175678,8.24891251734261,7.90952539772685,8.60062383324923
"13","AT1G05260",NA,-1,9.3808261707829,9.96953570054083,10.1692588851633,10.7154090732884,10.942418442609,10.9631008774403,10.8599038552163,11.2876017545816,10.9578348159622,10.2002028203612,10.338483160242,10.1906965096935
"14","AT1G05760",NA,-1,3.30602717585139,4.40125064879639,4.34171148380495,4.70580646506554,5.442950159554,4.80753088110038,5.82386279315428,6.22107591020081,6.77647306937916,4.47611394435128,6.3420149239616,4.92061584787935
"15","AT1G05770",NA,-1,2.31664723738483,2,2.59323857305937,2.58707905759234,3.00922222265967,3.45956225694828,3.99272302077264,4.24147329410601,3.90317333475818,3.18127349950523,4.1863910518829,3.59553195694732
"16","AT1G06000",NA,1,10.1384007275705,10.9328454342204,11.1442327527648,9.01751859003945,9.34694714085791,9.03087084977571,9.18757226871203,9.00590370645273,9.27804960062712,9.71897079056626,9.43040382892192,9.86906678185154
"17","AT1G06090",NA,-1,3.9800963159353,4.17850894496369,4.41233470183118,5.00554935277503,6.01724359022594,5.90708219441654,5.94511397254428,6.67863884104189,7.01745275101568,5.60363993872351,5.41145405138558,6.33696622752732
"18","AT1G06320",NA,1,4.6779643054439,4.40125064879639,4.1891624992066,4.00475789377519,3.59724574357341,3.45956225694828,3.16453817381705,3.45423138566925,3.90317333475818,3.47242339577202,3.01060686860727,3.46952232117734
"19","AT1G06490",NA,-1,5.36827222856734,5.76510070767223,6.25219978986326,6.67851760175859,6.63234983719851,6.55478540026966,7.03497853036125,6.7994676410611,7.12435679061689,7.11780504258434,7.55206404201695,7.20521858196121
"20","AT1G06570",NA,-1,8.56613547441985,9.1682971268526,9.33741613944684,11.1161595814369,10.3835593128028,10.6231717075974,9.26880139879202,9.48572072789782,9.93892917454311,10.8759669739365,10.9752903298945,10.9721697611072
"21","AT1G07000",NA,-1,8.1336470252363,8.54618408093671,8.57901556982967,9.38568074759964,8.96368146771725,9.1550219520317,9.10149532784007,9.27032206538919,10.0542921355609,8.81134375747639,10.4712565768342,9.0764033209395
"22","AT1G07040",NA,-1,8.05061352992331,8.27297885681874,8.48384057928113,8.96918566911352,9.23985057714095,9.1423108875345,9.06717695126324,9.15426836217517,9.03388625190154,9.0230208005257,9.33161692701671,9.45660386946228
"23","AT1G07128",NA,-1,6.4503397717737,6.45346549185904,6.48300572975343,7.21562274775358,6.73193524773093,6.79461375271867,7.44172298630158,7.33187231118595,8.01737459899423,7.04210896974839,8.75903201427039,7.0597423946833
"24","AT1G07560",NA,-1,4.37082225685945,4.86749215814539,5.23149189774221,6.1144980363328,6.1671033688456,6.12947657071173,5.71894481268077,6.57712403914806,6.73658552115247,6.24810332256957,5.97397830460896,6.28179399625911
"25","AT1G07590",NA,-1,12.2121257607809,13.2050097519682,13.522655219334,14.5061229002134,14.5299501033824,14.6468764568346,12.9245378903939,13.5932450135692,13.5176344771776,14.2591371787979,13.1854056187256,13.9061804299314
"26","AT1G08320",NA,-1,7.74867758497301,7.92373414624315,7.81866190631945,8.36820723198766,8.59562338256664,8.68319786939338,8.47017861299144,9.2749607905669,9.05024926240681,8.76836819802782,8.94280420028258,8.74019030286814
"27","AT1G08430",NA,-1,6.16469511101853,5.98760943448874,6.23281680774679,6.3983565088637,7.19779089163521,6.65840863673266,7.42514267639139,8.37562230201487,8.40861615039778,7.67817448047808,7.97499417039858,8.13453988503813
"28","AT1G08670",NA,-1,4.62154550509099,4.81681191331562,5.1511700532687,6.4817894452216,6.9603061302064,6.65840863673266,5.87359266085474,6.9346010278735,6.78952755811069,6.78780555781946,6.46311479521491,6.62989258846955
