"","FLT_Rep1","FLT_Rep2","FLT_Rep3","GC_Rep1","GC_Rep2","GC_Rep3","LN2_Rep1","LN2_Rep2","LN2_Rep3","RNAlat_Rep1","RNAlat_Rep2","RNAlat_Rep3"
"AT1G59870",12.8280883819063,13.4297981309049,13.3261736336997,13.5436780019973,13.568044131646,13.5810526150462,13.9660500240842,14.1922603903709,15.1001011239592,13.4197674237586,15.6375686273008,13.4939573776083
"AT3G01420",11.0034289641291,11.265447308928,12.0267750443106,12.7772070883602,12.8367582055886,12.7227992609413,13.0304122592809,13.5426895069855,14.1026372631765,12.3069050298408,14.8074029803832,11.99809033237
"AT4G31500",11.0061860480749,11.5501711931358,11.5758821144483,10.9056840515396,11.766976807313,11.4327468867912,11.9262008111268,12.8266902974801,13.9369861804476,11.8460950088683,14.1373130832045,11.9053126577147
"AT5G64120",9.39562155908103,9.80214044055768,9.92997204357458,10.0245161534733,11.5072047871844,10.9853352518611,11.6355094321792,12.1695578174215,14.1752274190483,11.1209889647825,13.404562770739,10.5016106939628
"AT3G16770",11.1816800069489,11.2695752459407,11.0860125125847,12.4305020622165,12.6168918956035,12.6227146079414,10.9415935802164,11.4337382673246,11.3191171018835,13.8414342470353,13.2086340542064,14.1221392815427
"AT3G14990",11.341401601591,11.3312464078028,11.8670108161407,12.590359196596,12.7516023532473,12.6926027148838,13.065438541596,12.3758001395319,12.7241274816491,12.6533459214354,14.393725399505,12.8112473515707
"AT2G44790",10.8900817373625,11.184685261378,11.5008926765079,11.7024309219137,11.751803488939,11.6875807179394,12.3312594580212,12.4540722169675,13.615608285149,11.9741757509866,14.1298193683147,11.7009929663375
"AT3G61430",11.8027561074856,12.7380902241556,12.7990484342874,13.6302198632489,13.9082652240982,13.8529297884106,12.8937995785109,14.0914160127364,13.2333354718049,13.7514643639285,12.4756777143214,13.6968392343573
"AT1G78830",9.98473156997544,10.378408634884,10.3644615907521,10.7761637277555,11.1572651790251,11.0121309521551,11.8858746932143,12.2358929962965,13.1576368642411,10.8845062101568,13.9762360187163,10.736887180236
"AT3G49120",10.2273356936506,11.6736819689923,11.867403660718,11.0710713283938,12.2429752804074,11.8539044819114,11.8377486618106,13.2814097099697,13.2898385326704,12.8827962388069,13.9422280005567,12.4734514766723
