Analysis.Id,FLT_Rep1,FLT_Rep2,FLT_Rep3,GC_Rep1,GC_Rep2,GC_Rep3,LN2_Rep1,LN2_Rep2,LN2_Rep3,RNAlat_Rep1,RNAlat_Rep2,RNAlat_Rep3
AT3G20730,23.11773915,37.09828564,21.84846998,24.34674707,26.14468227,23.25416698,15.3552997,8.496583026,24.87233039,21.84365595,32.2993623,32.58180959
AT3G20740,166.9929281,126.2936982,132.2216743,118.5637716,119.6747112,106.6105898,150.2689026,186.6962168,156.7277725,142.8147352,142.1900827,119.4726061
AT3G20770,3291.684139,3296.316937,3063.287262,6582.25712,4124.095844,5193.952859,4102.74048,3608.483677,3997.115109,3858.171012,4455.462303,4198.485316
AT3G20780,102.5721863,110.1594409,111.4148028,64.88527484,100.7199571,80.55165661,86.10433671,102.0763743,86.17872352,110.9050483,77.8432475,99.91266304
AT3G20790,287.8313649,203.8023758,174.8165133,82.07128805,137.3012357,127.5709738,223.5621676,250.0451506,225.3125356,156.2460688,142.0285936,170.5279305
AT3G20800,417.7578426,317.4201924,339.0714507,357.5407003,295.2017177,346.4254298,391.9935635,323.5005673,351.3310351,294.0112114,340.148318,256.335105
AT3G20810,334.0147765,352.2987553,314.3464072,499.3400479,188.1501624,397.3620915,242.607211,171.6380348,196.3783951,266.1033425,240.6722509,357.2556562
AT3G20820,3144.285202,3867.531144,3312.159506,2167.325365,2664.961231,2555.856021,3205.098407,3110.511275,2953.234368,2720.215653,1465.061255,2785.872399
AT3G20830,174.9117258,287.559967,283.4616247,538.184057,598.4879189,534.2468345,296.2108025,477.0210114,418.8546903,621.6902713,468.7475997,548.4701572
AT3G20840,4.962843859,9.467640644,8.881596489,21.08816009,29.84422621,24.95953061,27.67511076,11.34136541,9.575095942,31.92714686,23.95085258,30.40825448
AT3G20850,12.86929147,22.33416108,32.59169932,20.45698839,30.39457429,11.31604137,10.55109806,2.78699419,0,11.75054587,5.890184344,15.21248145
AT3G20860,30.12168039,47.76541498,62.69000298,42.26890851,69.94729727,47.62206992,84.15525034,86.11769377,154.5801146,52.08014655,405.5436741,57.56817181
AT3G20870,223.4121011,233.5075104,296.7983879,198.2835613,242.1609763,227.4615845,251.6225832,292.8160566,258.6366598,201.2729693,247.0319206,201.9421523
AT3G20880,2.746344935,6.921027918,11.35771552,11.36945938,11.8435096,4.536585439,0,1.414286943,3.822452859,6.72067357,4.779245613,1.086117004
AT3G20910,81.61539805,61.64782475,46.3978502,59.33601718,74.93573887,66.89860487,120.891191,84.71419752,80.15915204,124.3210263,125.2531146,112.9635466
AT3G20920,503.2292972,561.1232709,544.8130565,684.9928223,441.8581169,523.2880955,476.2831111,480.3243559,450.6045855,492.3149522,390.2274499,424.707647
AT3G20930,228.5236455,191.6210484,236.5221961,107.070379,184.1787089,157.7312255,153.3393888,101.3797328,130.4224579,110.4939995,123.2190622,156.8813051
AT3G20940,41.27232784,49.19139409,78.51420683,145.2794823,185.5300768,154.8357437,50.66439133,99.11312078,42.08681652,292.3668463,65.7863207,265.0002397
AT3G20960,103.4985837,156.6894388,186.5226056,407.1642048,314.8884254,355.5253397,137.2438111,263.6423634,260.505492,367.3073509,296.0955098,343.1748884
AT3G20970,216.2544783,374.5283159,382.5968045,286.0632277,362.1556059,322.4983124,212.6160086,232.8695891,228.9391493,300.6434638,257.5608029,246.5033492
AT3G21000,3.843705988,7.78928977,2.434702077,11.37057437,6.234668406,3.402349407,0,2.828045414,5.732790041,8.400757983,4.778392317,8.689000608
AT3G21055,1764.490389,3163.57116,3166.739654,747.0814995,2075.846292,1358.017587,1847.465516,1489.609419,1496.096418,1839.532459,1272.871157,1263.704231
AT3G21060,181.9587311,192.8124984,184.9136958,171.953321,202.7008776,176.9847665,164.5053768,201.3010155,201.0702065,218.4484523,204.7718006,206.342091
AT3G21070,362.4368209,289.1365221,393.9462647,354.1004588,455.2709295,487.3088749,570.7067636,566.3773829,567.2959103,514.2504528,705.8840462,504.14175
AT3G21100,293.4650696,286.3781172,256.2338971,225.8486642,242.4252528,220.144624,285.7882068,274.486224,243.3981696,261.6487245,172.7971213,249.3163996
AT3G21110,198.1306419,227.0292117,240.6518146,196.4447459,186.12178,198.9951246,128.54992,131.431234,134.2110359,114.7050984,105.4939384,140.0269894
AT3G21140,240.9806695,268.4677409,238.8400675,183.4376332,239.1044023,232.533118,265.5655649,237.8415792,195.1094289,278.922872,373.1430181,244.3662479
AT3G21160,244.6505596,222.2896865,174.7108003,211.7879036,222.7678169,223.7589459,260.0449054,227.470977,247.1549532,209.9481298,210.5450289,204.6273894
AT3G21175,244.2302519,207.0073957,229.2079154,276.9027854,204.4666928,222.2993939,217.6571829,215.4882506,210.4851053,228.1891605,224.8196319,194.3709751
AT3G21180,28.20191536,31.7292119,36.21077042,28.36225669,28.54855163,36.8806427,66.24375026,63.90424877,36.43691604,47.05446613,45.58093794,68.41337738
AT3G21190,669.7329987,564.3836697,424.1227139,444.7618272,351.130404,411.1949043,525.0787758,634.3359172,593.0507698,403.2650089,282.2882003,412.7049687
