Sample.Name,Atha_Col.0_HypocotylCC_WT_FLT_Rep1,Atha_Col.0_HypocotylCC_WT_FLT_Rep2,Atha_Col.0_HypocotylCC_WT_FLT_Rep3,Atha_Col.0_HypocotylCC_WT_FLT_Rep4,Atha_Col.0_HypocotylCC_WT_FLT_Rep5,Atha_Col.0_HypocotylCC_WT_GC_Rep1,Atha_Col.0_HypocotylCC_WT_GC_Rep2,Atha_Col.0_HypocotylCC_WT_GC_Rep3,Atha_Col.0_HypocotylCC_WT_GC_Rep4,Atha_Col.0_HypocotylCC_WT_GC_Rep5,Atha_Col.0_HypocotylCC_HSFA2.KO_FLT_Rep1,Atha_Col.0_HypocotylCC_HSFA2.KO_FLT_Rep2,Atha_Col.0_HypocotylCC_HSFA2.KO_FLT_Rep3,Atha_Col.0_HypocotylCC_HSFA2.KO_GC_Rep1,Atha_Col.0_HypocotylCC_HSFA2.KO_GC_Rep2,Atha_Col.0_HypocotylCC_HSFA2.KO_GC_Rep3
AT4G01150,6.346803256,6.499510462,6.371527626,6.389919533,6.960731182,6.552624032,6.372147255,6.485971061,6.284023028,6.188132448,6.063003682,6.122866461,6.061141946,6.121971207,6.01284973,5.839849746
AT4G01190,2.047688116,1.79217332,1.971538378,1.954987286,2.102518362,2.095023926,2.080741627,1.992565858,1.795309497,1.794548385,2.016091989,2.034966291,1.939719138,2.11202824,2.112757827,1.909532033
AT4G01210,2.492041879,2.391391818,2.851563766,2.163912222,2.130264092,2.519247511,2.466608482,2.597216902,2.457727501,2.202763182,2.260514238,2.353623305,2.427351254,2.276086814,2.357196407,2.608713425
AT4G01220,2.030020827,2.103029489,1.929164182,2.317871905,1.984115073,2.088022726,2.285167908,2.0252332,2.100900487,2.047830114,1.832280079,1.956918556,1.784581587,2.015981079,2.034966291,2.124296642
AT4G01240,1.635763047,1.719034376,1.49778479,1.981991507,1.811088518,1.855400746,1.918974402,1.988084501,1.838384298,1.933393082,1.505301627,1.731655147,1.786898875,1.990978589,1.584392927,1.806815149
AT4G01250,1.78498467,2.021907673,1.908311227,1.994085807,1.9596716,2.164518913,1.980164329,1.982313897,1.929947923,2.114355018,2.086898625,2.120234786,1.942937208,2.136121897,2.112757827,2.023342597
AT4G01270,1.754407088,1.711534349,1.812622119,1.736471531,1.656705644,1.752705203,1.65459901,1.714660553,1.879938768,1.804490517,1.807659489,1.740951931,1.73577446,2.018995184,1.824540277,1.665730967
AT4G01280,3.773300689,3.429923029,3.817125196,3.730620069,4.321318135,3.791002288,3.389181916,4.086904849,3.97366021,3.296144145,3.301359908,3.274145976,3.221384244,3.239068937,2.577434304,2.926827749
AT4G01290,4.813179004,5.135527877,4.97485632,4.747208784,5.070548541,4.574589026,4.718394491,5.005092326,5.235534327,4.727080145,5.450534273,5.548744719,5.354486381,4.56981957,5.172359728,5.684022916
AT4G01310,6.900916417,6.522562273,6.807765252,6.57731571,7.13155121,7.221454026,6.821189955,7.162528325,6.986579299,7.025105267,6.182376215,5.822652905,6.159342482,6.416629482,6.32791713,6.195042691
AT4G01320,6.298252329,5.076483852,6.708182182,6.668231959,5.858584906,6.548183062,5.697377959,6.685023868,5.998422272,6.752076853,6.491828396,6.088140571,6.222286158,6.059601057,6.286118362,6.012929963
AT4G01330,1.854689006,1.845518392,2.004952435,1.709578354,1.88879948,1.853149767,1.766305963,1.818490985,2.090248951,1.858964283,1.791361556,1.726965436,1.729691815,1.865642161,1.769000285,1.659319519
