"","Col0_GC_Alight_Rep1","Col0_GC_Alight_Rep2","Col0_GC_Alight_Rep3","Col0_GC_dark_Rep1","Col0_GC_dark_Rep2","Col0_GC_dark_Rep3","Ws_GC_Alight_Rep1","Ws_GC_Alight_Rep2","Ws_GC_Alight_Rep3","Ws_GC_dark_Rep1","Ws_GC_dark_Rep2","Ws_GC_dark_Rep3","Col0PhyD_GC_Alight_Rep1","Col0PhyD_GC_Alight_Rep2","Col0PhyD_GC_Alight_Rep3","Col0PhyD_GC_dark_Rep1","Col0PhyD_GC_dark_Rep2","Col0PhyD_GC_dark_Rep3","Col0_FLT_Alight_Rep1","Col0_FLT_Alight_Rep2","Col0_FLT_Alight_Rep3","Col0_FLT_dark_Rep1","Col0_FLT_dark_Rep2","Col0_FLT_dark_Rep3","Ws_FLT_Alight_Rep1","Ws_FLT_Alight_Rep2","Ws_FLT_Alight_Rep3","Ws_FLT_dark_Rep1","Ws_FLT_dark_Rep2","Ws_FLT_dark_Rep3","Col0PhyD_FLT_Alight_Rep1","Col0PhyD_FLT_Alight_Rep2","Col0PhyD_FLT_Alight_Rep3","Col0PhyD_FLT_dark_Rep1","Col0PhyD_FLT_dark_Rep2","Col0PhyD_FLT_dark_Rep3"
"AT3G05880",11.3272145275405,12.2034349424147,11.9841782440751,10.2310464794984,10.6914502164662,11.0109920666297,10.8718930753851,11.9634138702735,11.9140834975757,9.19992008196262,9.84646471367554,10.1344794129814,11.3029600868158,12.5514907939292,12.2356786263223,11.0632149453339,10.3023359132578,10.0979821054303,11.4123505937358,11.785892592656,12.9438492167981,11.8554864744312,10.7095882725399,13.0337114851704,12.092880343576,13.8520575950487,12.888440912399,9.82246414012545,11.0717534676422,11.4622476617637,12.6736671626541,13.0545221516903,12.8098552790685,11.4223696720944,12.0669076165823,12.3783836045962
"AT3G44300",11.4404520505695,11.1157703680936,10.7472713412808,10.3600855976354,9.5280194793927,10.5860956138845,10.8345982598945,10.4803021757491,11.0428696641974,9.48589564238664,10.1186129697899,9.44070688400573,9.69944066383956,10.8243877154721,10.4742491005575,10.2702304235604,10.1252762921188,10.2303307705756,12.0455723858004,11.398331372759,11.511420681859,12.0918666847665,11.0975391948423,12.0745414688899,11.9630660892171,10.5850652531393,11.5578998792763,9.38715284177624,9.95929099586322,9.83556973155234,11.5618500854139,11.9524045316261,12.2112543447636,11.6823884545126,10.8425328831884,11.7587494528357
"AT2G26400",5.5822950990045,3.78946799160195,5.02308414089189,6.9345009902657,6.56307171219993,9.0214034786035,6.03313563306244,5.9542683269985,7.80908495658867,6.2532339647759,7.36541583534709,8.81960337268451,7.48315974696688,7.00111349194149,5.59666366716381,6.84562743000806,7.73121082091656,7.31306087741953,8.8506166244058,9.21736497642464,8.78082413234124,9.51668242506319,8.71316508202177,9.50574499494224,10.3319276029887,9.71900389364133,10.1681024636759,9.68745913794878,9.28611576836342,9.10383931598082,10.4576028670655,9.92687262538693,9.02051226993613,8.9020933338287,10.4699320265832,12.1434507144391
"AT3G54040",6.62429571927986,9.21346817504473,9.73905089707809,6.97991154353755,7.38708262667066,8.34508524352347,6.13682446655848,8.66215617138744,8.10933082605867,4.43173224875746,6.6793123349745,8.29926867333481,7.3932535382393,9.59472724366249,9.59330836211354,8.53307418706232,7.79618270961593,7.67837490146847,6.67138777388381,8.39715721598422,10.1730910076735,9.19767492549096,6.06058771169817,10.3617185079391,8.18513670456296,11.5219483367135,10.3766778201008,7.0931272236799,9.56459156370998,9.87383683732699,9.79040262098584,10.8944325420661,9.88793394724801,11.4710030658133,8.44976006505022,6.63608479870609
"AT1G19960",8.31825267062464,9.67892076330677,9.11289087918595,7.61937304722635,7.67108181432055,8.32313083713005,7.93703772066069,9.77965688875205,8.61710749458178,6.49112610139156,6.39164092472898,7.96041070919453,7.85175612286089,10.2507670358777,9.43988283081186,9.02714199507178,7.43739525844435,6.75917411804045,8.4276037214165,8.84810614364505,10.1936563108144,9.42002346944025,7.44781017804331,10.7770113350291,9.37933228766092,11.2214872645466,10.3734731778209,7.84604915181124,9.55895281680697,10.0009942198283,10.7283162387265,10.674528312109,10.129152534183,8.73293697730052,9.60269730080104,10.2944389872526
"AT5G23220",8.5042117446984,7.84569327991862,7.77706478310532,7.66873918774563,6.65047813876138,8.23651738324128,7.72713400561753,8.86436740941849,8.70095064725127,6.78746598227086,6.97603351371948,8.17703848905773,7.3932535382393,8.84553381972773,7.71542006544599,8.8043291999346,8.31819520560479,8.63621243246711,10.1951667508084,10.1631140820791,10.069555439113,10.4086257502326,7.77929855742873,10.2736509846148,10.4157796615396,9.44776609922379,10.0659282109042,6.62247144018453,9.42277873163489,9.10383931598082,9.90550138873796,9.55724503895118,9.77953568290092,8.09047766749501,6.98651429937228,4.22976363619194
"AT5G24530",7.84791754079643,7.906048161795,8.40227522774896,6.01404509336926,3.68465901646997,7.34975130208301,6.72113028495791,8.02018469244957,8.45350196450804,4.97035716958621,5.52138276112162,6.38753054891508,7.07358057658868,9.431462527978,8.93760009562566,7.58961652427218,6.69818288422596,6.11525653982695,8.51431945934553,8.5990955978763,10.1323133391024,9.06566604823288,6.31270274029682,9.45393390896912,8.62048213592926,9.54524018278113,8.91843947250125,6.3221576797007,6.71994388563181,7.19423412651805,9.67918972286953,10.4087295674545,9.94640492880538,8.64382821845336,8.02520892372552,8.56965130752187
"AT5G22555",6.98813632609738,7.4184212754515,7.64863110817215,5.14122398502916,2.98862016935216,6.61898373641548,3.43721226595,8.64454358541112,7.09950811302826,2.79291207435723,3.97283546722713,4.3035985563051,3.306864940277,8.97823844363474,7.98064801707983,6.40184579518033,7.18909086916801,5.49020351377625,8.60692057137293,8.60271494612578,8.94679846769163,8.82187109649414,6.93813582804813,9.52904435342111,9.70712972301257,10.1990537615652,9.91246381283722,8.93748146199778,9.04119813151637,7.42617363180791,9.17890160420801,7.78184846685854,9.14307287105679,9.67342965412673,2,2.57732118396118
"AT3G56400",7.18479679537573,6.2980894744395,7.00989612953629,6.59834786278641,6.31813680175893,8.18388856337341,6.03313563306244,7.66938095167154,6.72537474681728,4.67178389486643,5.74769904058462,6.90854702259024,7.14543744214914,9.3981550173267,7.71542006544599,7.14502210112122,7.11971079906525,6.78491360910724,7.75064987507228,8.20576598012642,9.86453422058991,9.21424069843001,7.7663641423281,10.1920713428653,7.97166747614151,8.25663092950082,8.53057520870125,7.22114055007414,7.2728294338375,8.32783470430697,9.25496570071597,9.28480346371291,9.43821260782647,9.45307951809127,7.88113004502019,9.83658836022506
"AT5G05500",6.09599382986532,7.97529136969326,8.23343365645977,3.30261768275283,4.44076306045405,6.0630822274694,2.31498167372888,8.66565303282641,4.67453925423062,2.98313589108561,5.32480312378737,5.14954439752868,4.37195684867146,8.79204342194556,6.87582175659137,8.00268133827347,5.32968123271952,4.96804700184166,7.64978004838351,8.62779928850509,8.90925643061614,8.86746929059238,4.73058463249532,9.34874314075351,9.38355627481411,9.96459182601941,9.59790203639503,7.97457886854825,9.63595760000409,8.8874755196173,7.88505753315248,7.96312296939062,8.66072553714367,9.77860204151597,3.98957049505206,2
