Analysis.Id,50kPa_notsuppO2_Rep1,50kPa_notsuppO2_Rep2,50kPa_notsuppO2_Rep3,50kPa_suppO2_Rep1,50kPa_suppO2_Rep2,50kPa_suppO2_Rep3,97kPa_CTRL_Rep1,97kPa_CTRL_Rep2,97kPa_CTRL_Rep3
AT5G43170,5.916889087,5.737307701,5.979775663,5.823052463,6.063963421,5.823052463,5.820539413,5.527796819,5.832074262
AT5G43180,6.845673437,6.885258013,7.353279535,6.673202514,6.991506642,6.986933981,6.98393343,7.044625305,7.17188747
AT5G43190,4.429822461,4.554589473,4.528843544,4.554589473,4.630472571,4.554589473,4.554589473,4.554589473,4.615028371
AT5G43230,2.305838994,2.230028957,2.121417005,1.993306695,2.251722931,2.246439363,2.211203223,2.116485811,2.254357045
AT5G43260,5.51573142,5.644328516,5.645003064,5.4780439,5.695250555,5.419332532,5.575696011,5.383194429,5.316932857
AT5G43270,2.375989784,2.469254502,2.469254502,2.514416808,2.432098034,2.700262744,2.39343464,2.469254502,2.516196328
AT5G43280,3.466020498,3.316091803,3.320051103,3.338287553,3.241095942,3.169126209,3.330703966,3.320051103,3.211109809
AT5G43310,4.8727744,4.778937776,4.909276279,5.097137224,4.856000138,4.901625415,4.901625415,4.901625415,4.916394074
AT5G43320,7.315678486,7.358705406,7.169871951,7.303398557,7.344999884,7.480446364,7.391740061,7.344999884,7.282639356
AT5G43330,5.662925662,5.582154335,6.024719992,5.559457655,5.60599023,5.124954518,5.587534949,5.655592029,5.33130204
AT5G43380,4.480945731,4.502472866,4.639737524,4.517140205,4.503849328,4.344245959,4.517992185,4.570382232,4.530072801
AT5G43400,4.087664586,3.806184428,3.835281243,3.890316473,3.725618029,4.018622461,3.976734602,3.952599116,3.730030808
AT5G43430,6.169754197,5.651270003,5.484070546,6.028206581,5.721451938,5.877234626,5.692655346,5.847757041,5.392854483
AT5G43440,2.310289563,2.01506229,2.20018922,2.22487963,2.207797425,1.966887323,2.503020483,2.031454366,2.572988586
AT5G43450,3.692384422,3.963863072,3.827475073,3.584324786,4.067628921,3.678378054,3.547284362,3.635322998,3.861365884
AT5G43460,9.847819456,9.78175078,9.925317416,10.02377679,9.901975368,9.901975368,10.01469794,9.923459177,9.668257398
AT5G43500,3.799395031,4.216881543,3.959367968,3.901687115,4.005622988,4.082135022,4.133627831,4.164615712,3.800420828
AT5G43520,2.538221988,2.567415845,2.567415845,2.567415845,2.567415845,2.839471356,2.512252699,2.455261272,3.013651323
AT5G43530,2.480081546,2.427520215,2.329662457,2.567415845,2.321500354,2.494914738,2.427520215,2.340158192,2.427520215
AT5G43560,5.722003924,5.597821993,5.671298677,5.975625198,5.867934386,5.934063134,5.89095881,5.867934386,5.924461339
AT5G43580,2.427520215,2.182813921,2.043624014,2.435686995,1.977748321,2.038283163,2.109033054,2.003464897,2.001440184
AT5G43590,2.153150571,2.115366427,2.20082057,2.085813627,2.194241854,2.190781916,2.097887595,2.096728993,2.153150571
AT5G43600,4.678130165,4.58525883,4.58525883,4.58525883,4.667264392,4.988556168,4.492164526,4.490662285,4.488991187
AT5G43670,4.046664899,3.789003708,4.052103319,4.046664899,4.046664899,4.046664899,4.046664899,4.148832577,3.795244536
AT5G43680,3.663226697,3.783520071,3.591108724,3.751216147,3.818696686,3.756040964,3.74414579,3.681464364,3.885412356
AT5G43700,3.938806815,4.012273872,4.012273872,4.082636033,3.928754325,3.791061202,4.309102167,4.443279353,4.060599018
AT5G43710,4.334288205,3.887563761,4.005276337,4.692617058,4.435864554,4.6139265,4.445865284,4.264504134,4.435864554
AT5G43720,5.98594011,5.739210356,5.855927065,6.07955145,5.886319429,5.897008605,5.80223968,5.6982947,6.02511407
AT5G43730,1.817515466,1.847732022,1.853177551,1.694949668,1.74171216,1.842081593,1.842081593,1.886644714,1.842081593
AT5G43740,2.054609159,2.114311639,2.06813651,2.127135413,2.019638658,2.15460005,2.188359137,2.038837172,2.301167327
AT5G43745,2.980555705,2.964519639,2.964519639,2.964519639,2.964519639,2.869669323,2.964519639,2.938402057,3.025538908
AT5G43750,5.703878112,5.96710151,5.335292478,5.230079283,5.707943883,4.972011981,5.012422724,5.304554916,5.465304024
AT5G43760,4.744691619,4.945521888,4.935687646,4.985554692,4.848294266,4.899719169,4.758947972,4.749514706,4.811115949
AT5G43770,2.42185662,2.601820578,2.501736411,2.695150163,2.415718941,2.667131862,2.556346751,2.556346751,2.823482876
AT5G43780,6.069303487,6.061881524,6.226898749,5.922264018,6.075185118,6.203133099,5.937594867,6.075185118,6.020674586
AT5G43790,2.610058368,2.708663951,2.819457766,2.708663951,2.715138552,2.708663951,2.923510955,2.832780939,2.369562335
AT5G43810,5.637117821,6.135739394,6.141324316,5.475030138,5.734925822,5.500151439,6.097128072,6.061797612,5.771129879
AT5G43822,4.725529067,4.518237924,4.843379944,4.502472866,4.14245639,4.311188477,4.495044173,4.353024373,4.525565096
AT5G43830,7.551350051,7.567524987,7.527195818,7.35732113,7.505073124,7.559309502,7.542627624,7.518259616,7.542726224
AT5G43850,6.915826917,7.02508186,7.194030309,6.776898406,7.070885168,6.9750339,6.920374241,6.908911376,7.108095933
AT5G43860,2.869120732,2.869120732,2.869120732,2.869120732,2.908928598,2.805697085,2.810921614,2.780727285,3.142497798
AT5G43870,2.862236162,3.007045706,2.862236162,2.790992264,3.059014418,2.71541955,2.88097017,2.929260485,2.862236162
AT5G43880,4.85017878,4.85017878,4.960264709,4.676760751,4.965287204,4.85017878,4.914703519,4.835105235,4.85017878
AT5G43890,3.643170308,3.646080124,3.524159925,3.524981447,3.393167638,3.643170308,3.59644316,3.643170308,3.70164118
AT5G43900,4.833856195,4.988654014,5.065738402,5.075692488,5.026764344,5.075692488,5.110678225,5.122195672,5.134790407
AT5G43910,4.703629459,4.703629459,4.682206519,4.799243338,4.709848942,4.760654678,4.560685115,4.535383689,4.6495113
AT5G43920,3.710478419,3.744557037,3.693091735,3.777431604,3.684921676,3.693091735,3.693091735,3.632877059,3.61914002
AT5G43930,4.24105185,4.012623791,4.313325169,4.32366567,3.893703084,4.246311673,4.480220911,4.301413715,4.329392464
AT5G43940,8.976389496,9.195006805,8.872264467,8.913416991,8.963943272,9.004880185,8.997562869,9.004880185,9.131425099
AT5G43960,6.165496204,6.343969067,6.145328142,6.18989577,6.228406256,6.196458142,6.343969067,6.340555147,6.305806076
AT5G43970,9.031493994,8.769057207,9.005878328,9.101182378,9.156817321,8.942872869,8.718910165,8.913824827,8.90025302
AT5G43990,3.971301827,4.46469903,4.189864515,4.32990358,4.17915241,4.080992487,4.395283353,4.278455292,4.359478879
AT5G44000,5.597559892,5.669297326,5.815780894,5.574283586,5.662450792,5.447263247,5.580742257,5.660792717,5.847757041
AT5G44010,2.955507917,2.964519639,3.142554096,3.161452313,3.293975968,3.023261548,2.944610411,2.896891886,3.157400908
AT5G44020,6.815088201,6.557657934,6.314862848,6.23685053,6.494357015,6.80911272,6.004696316,6.234008063,5.978882672
AT5G44030,5.052169739,5.327809562,5.290287471,4.972909087,5.120456351,4.914546062,5.69359981,5.921496168,5.670018154
AT5G44060,4.912316089,4.992094616,5.240256959,5.145836041,4.961789961,4.902697579,5.064270147,5.087365349,4.681115211
AT5G44070,6.610747324,6.655028679,6.706854632,6.451061732,6.591815388,6.468165815,6.534694231,6.519048772,6.478467234
AT5G44080,3.568579978,3.847434395,3.882118284,3.977377193,3.885287974,3.882118284,3.882118284,4.131746663,3.882118284
AT5G44090,3.295124196,3.32159869,3.311752816,3.749793934,3.32159869,3.32159869,3.227078087,3.388623013,3.423855465
AT5G44100,1.864609152,1.923080025,1.923080025,1.970343262,1.935803086,1.665689724,2.109343272,2.065224414,1.905816953
AT5G44110,7.023221228,6.540515638,6.531162817,6.614095301,6.586198048,6.874010276,6.247266356,6.274186717,6.517611134
AT5G44130,4.985554692,4.493073773,4.551672758,3.638281667,4.640416386,4.613187716,3.608928909,3.875147,3.86690998
AT5G44150,4.285847603,4.017368822,4.462921312,4.761054481,4.604239928,4.387838855,4.366466207,4.366466207,4.263097368
AT5G44160,2.896972486,3.164951022,3.164951022,3.038089918,3.050570664,3.164951022,3.223301804,3.164951022,3.444283668
AT5G44170,4.922942649,5.078935525,4.774940467,4.92787882,5.07939197,4.780861595,4.728003768,4.701760208,4.929265246
AT5G44180,5.099879271,5.191305245,5.545716444,5.118047495,4.900551984,5.004247407,5.294704327,5.130510903,5.130510903
AT5G44190,3.459832475,3.742299473,3.459832475,3.105542289,3.578921713,3.354782346,3.229655879,3.459832475,3.652828868
AT5G44200,6.356277563,6.282138727,6.232069198,6.336142173,6.423367083,6.201514757,6.205845425,6.281447912,6.142308627
AT5G44210,4.919749258,4.55355826,4.672761396,4.885897432,4.84417308,4.756928852,4.806292151,4.941173196,4.84417308
AT5G44230,2.391291995,2.409039827,2.578804142,2.409039827,2.314535468,2.409039827,2.428556667,2.409039827,2.406099276
AT5G44240,6.881797651,6.883222853,6.985808704,7.05652536,6.878545406,7.137849028,7.006265373,6.908911376,6.985808704
AT5G44250,4.408375595,4.049617994,4.189864515,4.133226924,4.500928834,4.402190405,4.13548588,4.234945108,4.334159885
AT5G44260,2.535969535,2.476419208,2.553205559,2.703364219,2.56150044,2.505896683,2.535969535,2.402236709,2.696443724
AT5G44280,2.799916142,2.878791434,2.810015322,2.858796227,2.858796227,2.710902736,2.955757252,2.858796227,2.945090673
AT5G44290,3.727324094,3.687455973,3.880220631,3.880220631,3.74351952,3.992032721,3.88791195,3.995657113,3.726170966
AT5G44320,8.410659836,8.442212665,8.244047019,8.547538898,8.323599222,8.549489158,8.442212665,8.464943635,8.586014986
AT5G44340,9.22778319,8.997336553,8.755708734,8.993494404,9.040476592,9.025059522,8.905682656,8.962834779,9.09144745
AT5G44350,4.850366003,4.803428103,4.993598299,4.902697579,4.94177772,4.920736347,4.828917733,5.043779001,5.007422638
AT5G44370,4.546794287,5.01660771,4.867770748,4.460630189,4.873432087,4.884956528,4.693511629,4.676686589,4.638129814
AT5G44380,5.98945285,5.214849194,6.057415685,5.525635608,5.569531306,6.22666568,5.581281557,5.229373491,5.063502803
AT5G44390,2.533910763,2.511423195,2.52621798,2.673670296,2.503593063,2.503593063,2.540088563,2.430096635,2.4003463
AT5G44410,3.381561801,3.44484809,3.723274464,3.405712513,3.471181791,3.155396932,3.568651162,3.381561801,3.366696907
AT5G44450,3.856282378,3.873338005,3.873338005,3.923358642,3.96662724,3.964250696,3.750429674,3.813654123,3.800031351
AT5G44460,3.392653764,3.201828195,3.380102889,3.573808413,3.612773896,3.538930493,3.178864532,3.411673273,3.514735169
AT5G44480,5.774809274,5.385879607,5.398347011,5.52291521,5.822478933,5.935014034,5.331542816,5.31221403,5.501992553
AT5G44500,4.635361075,4.398553313,4.58525883,4.985554692,4.761681696,4.723947135,4.755991301,4.644707907,4.723947135
AT5G44510,3.112369675,3.30997818,3.160430793,3.233012629,3.233012629,3.19102903,3.287104603,3.305305204,3.102940337
AT5G44520,3.314990424,3.651494831,3.346726694,3.450964171,3.594793424,3.475920236,3.394807485,3.410150341,3.410150341
AT5G44530,3.656446642,3.603522799,3.95644942,3.633057001,3.855570444,3.855570444,3.882118284,3.98658867,3.925951455
AT5G44560,4.759239866,4.517715838,4.65000795,4.726807734,4.82747808,4.561302576,4.532904005,4.556133919,4.65000795
AT5G44580,3.310619347,3.34467253,3.520321813,2.901059064,3.324554615,2.848038916,3.310619347,3.244209676,3.483885587
AT5G44610,8.826888753,8.231987587,8.683022905,8.519271043,8.819117119,8.96678731,8.305855575,8.471401079,8.247801813
AT5G44650,6.453067219,6.714851498,6.389996128,6.282138727,6.603970881,5.745956952,6.041510255,6.176373237,6.192231902
AT5G44660,2.960068719,3.199088744,3.34868713,3.017220009,3.017220009,2.879831406,2.992218222,3.158255347,2.720547355
AT5G44670,6.030762306,5.933136718,5.934825431,5.925508457,5.786976564,5.933136718,6.05552969,6.111496609,5.615987061
AT5G44680,4.034377103,4.895016962,5.076203508,4.348170076,4.179358248,3.471005503,4.771265359,5.124954518,5.465167357
AT5G44700,2.508370162,2.243908371,2.115863532,2.645558125,2.230889044,2.296123528,2.572064219,2.329709518,2.406099276
AT5G44710,5.931802644,5.851757416,5.932835671,5.816359606,6.105998842,5.856217663,5.845759901,5.889681849,5.812000889
AT5G44720,7.27106229,7.146891197,7.326462124,6.989851778,7.065571308,7.102697393,7.556981145,7.481415206,7.235468798
AT5G44730,6.054455079,6.011884971,5.915716919,5.4062081,5.41447124,5.079805966,5.091002689,5.213996554,5.346677786
AT5G44740,3.695347223,3.950087845,3.914566145,3.914566145,3.914566145,3.676160712,4.397795002,3.928123871,3.914566145
