Sample.Name,Atha_Col-0_Root_Zone-I_Rep1_Array,Atha_Col-0_Root_Zone-I_Rep2_Array,Atha_Col-0_Root_Zone-I_Rep3_Array,Atha_Col-0_Root_Zone-II_Rep1_Array,Atha_Col-0_Root_Zone-II_Rep2_Array,Atha_Col-0_Root_Zone-II_Rep3_Array
AT1G63720,2.157916395,2.198481663,1.982417795,4.101298121,2.88024255,3.22664173
AT1G63730,2.151759522,2.098202795,2.250092705,2.404340669,2.359037246,2.244966656
AT1G63740,3.387234111,3.323632563,3.360406141,3.210729703,3.518754009,3.321084069
AT1G63750,2.038005316,2.078697004,2.048954751,2.054248918,2.065198353,2.053912664
AT1G63770,8.356206591,8.340762141,8.496567505,7.978659557,7.562404636,7.464056726
AT1G63780,6.425439409,6.356315278,6.605684805,3.753101973,3.94177074,4.014670464
AT1G63800,4.692132483,4.501310859,4.748231512,6.517356832,5.671787942,5.906668451
AT1G63810,6.114450022,6.706158494,6.641764302,4.526883523,4.732652578,4.389943487
AT1G63820,2.267493433,2.731475205,2.971738035,3.396295268,4.26945655,3.522580253
AT1G63830,5.400738236,5.924404532,5.951728239,6.460687383,6.028931618,6.314424862
AT1G63840,6.133469432,5.370852553,5.472845279,7.322645837,7.264067576,7.374718416
AT1G63850,5.092180939,5.418811581,5.376997307,4.414919737,4.496118186,4.198364286
AT1G63900,6.254526416,6.252600133,6.124758254,6.292561243,5.90531369,5.97641014
AT1G63930,5.773199733,6.002581168,5.656842153,6.976372188,7.280727121,7.518086757
AT1G63940,8.309340854,8.604170417,8.630919263,8.88565444,8.741654386,8.937032943
AT1G63970,5.315366029,5.124714661,5.324070847,4.247319679,3.800922906,4.250090593
AT1G63980,8.838773231,7.927543243,8.644834732,6.140438195,6.16323483,6.27809765
AT1G63990,1.694357319,1.893617209,1.870114876,1.702807105,1.928862343,1.729612469
AT1G64040,5.066068355,5.11522185,4.946290431,4.911657141,5.161402643,4.618985918
AT1G64050,6.731354441,6.889833225,6.520224666,6.457580974,6.725053595,6.252364824
AT1G64060,6.524336218,6.565257042,5.83406402,8.38031408,7.933061657,8.255487167
AT1G64090,8.749320747,8.732669191,8.539227408,7.194406381,7.352526681,7.800222188
AT1G64105,4.144858405,4.092689878,2.716391329,5.00133565,3.679345371,4.164493538
AT1G64110,4.317564812,3.588235026,3.924242174,3.496135511,4.05080105,3.69247473
AT1G64140,5.945766434,6.172146543,6.499940441,7.152280682,6.829482379,6.927421325
AT1G64150,3.089201058,3.358657943,3.436688182,3.195765359,3.122055736,2.957927971
AT1G64170,2.265903056,2.865090955,2.387509634,2.69361124,3.189082574,2.159983746
AT1G64180,2.1126527,2.301626314,2.340006794,2.528898967,3.504187575,2.710658673
AT1G64185,5.770923698,5.678123331,5.944345712,2.393310101,2.330324728,2.586532274
AT1G64190,9.765864484,9.757644754,9.811150252,9.285070409,9.326384452,9.731048805
AT1G64200,5.423034656,4.580678923,5.356184752,5.602587033,5.500013565,5.631103245
AT1G64210,2.522944263,2.855258192,2.85211462,5.989493048,5.268058939,5.43366324
AT1G64220,6.905623285,7.161241119,7.060471303,4.959608992,5.973934731,5.035812017
AT1G64230,9.0155179,8.354238197,8.804101826,9.313481528,9.115186044,9.157043038
AT1G64280,3.99098396,3.359666308,4.232775446,5.13295399,4.295596424,4.243165783
