Sample.Name,Atha_Ler.0_sShoots_FLT_Rep1,Atha_Ler.0_sShoots_FLT_Rep2,Atha_Ler.0_sShoots_FLT_Rep3,Atha_Ler.0_sShoots_GC_Rep1,Atha_Ler.0_sShoots_GC_Rep2,Atha_Ler.0_sShoots_GC_Rep3
AT1G26830,6.650550594,6.481842546,6.496571596,6.464463057,5.898851222,6.561164615
AT1G26840,2.231167603,2.277393523,1.788166381,1.65649352,1.666946924,1.459936702
AT1G26850,6.925106927,7.117409143,6.988997742,5.905553164,5.468228381,5.394157237
AT1G26870,1.269973075,1.17512862,1.057961332,1.492960799,1.459983555,1.294611185
AT1G26880,6.281768428,6.908712763,6.342341391,5.774168442,6.047938324,5.426771965
AT1G26900,1.564329292,1.828929295,1.95552767,1.736687226,2.011705909,2.481853898
AT1G26910,3.912291415,3.60319542,4.109154133,3.772938311,3.463860343,3.4289047
AT1G26920,4.643170879,5.319857327,5.156356308,4.292302499,5.161017409,4.639419678
AT1G26930,4.718187549,3.653991611,4.524651441,4.725698017,3.65370122,4.958494783
AT1G26940,2.520917203,2.192927212,2.423644684,2.723518704,2.428775593,2.290897406
AT1G26960,3.33193586,3.710693858,2.755004129,3.053912379,2.184703992,1.946436772
AT1G26970,1.559898475,1.329617827,1.573824967,1.364389034,1.495962119,1.366870913
AT1G27000,6.860723825,6.796571614,6.839206513,6.843730993,7.15928937,7.002414484
AT1G27030,9.616841209,9.541806771,9.386261307,9.355240347,9.33035919,8.931572679
AT1G27050,2.885160655,3.176450287,3.34674412,3.527642493,2.993247412,3.745090489
AT1G27060,1.413098704,1.773806827,1.811759278,1.696211933,1.667447925,1.511857295
AT1G27070,1.729648117,1.334025565,1.691748585,1.876177787,1.51479298,1.805032987
AT1G27090,7.277501726,7.081420881,7.491872979,7.647836002,7.489369592,7.236018523
AT1G27100,2.779324582,2.875649858,3.095424107,3.959769835,2.95880724,3.225595951
AT1G27120,2.658101979,2.156785693,2.34098433,2.10038621,1.903045054,1.800419978
AT1G27130,5.941921019,6.02147659,5.832158702,6.182244193,5.553938074,5.741017369
AT1G27140,1.326484685,1.84636539,1.539244833,1.893727536,1.77297248,1.67355897
AT1G27150,5.221078003,4.896474428,5.422325164,5.873934774,5.225172892,6.307922035
AT1G27170,2.455380123,2.474554501,1.933950591,2.208108688,2.132010379,2.252546518
AT1G27190,4.137479862,3.805159631,4.134524365,4.096896169,4.018569713,4.809294816
AT1G27200,3.876241712,3.51530526,3.851255191,4.6649954,4.160929785,3.944789054
AT1G27210,5.780550262,5.290429922,5.573572126,5.023412616,3.999735114,4.533101889
AT1G27290,3.894889914,3.797378707,3.754179082,4.132041788,4.153338407,4.692810997
AT1G27300,7.020664732,6.51711149,6.866530586,7.326192173,6.97012967,8.030619659
AT1G27310,7.130237819,7.304022445,6.844475873,7.33577775,7.200792484,6.645475075
AT1G27320,6.829331378,6.634786417,7.187495391,7.280263066,6.404858904,7.391519294
AT1G27330,5.357865888,5.628172303,5.194595146,5.11314647,6.017077782,4.991793576
AT1G27340,4.431415146,3.920063338,3.878541315,4.362829683,3.674224887,4.035684281
AT1G27360,1.619469906,1.748956545,1.986291473,1.609946279,1.888553457,1.685263987
AT1G27370,1.43028648,1.598875682,1.595653711,1.513291833,1.355222327,1.084859255
AT1G27380,1.320213295,1.508666033,1.580505156,1.341371991,1.422230453,1.188406356
AT1G27385,2.198835857,2.614623061,2.617821838,2.620625294,2.585362794,2.673511119
AT1G27390,3.567251538,4.009525954,3.688700781,3.573032659,3.915643785,4.065673501
