"User_ID sorted by SD","Ensembl_gene_id","symbol","sl_FLT_BA_Rep1","sl_FLT_BA_Rep2","sl_FLT_BA_Rep3","sl_FLT_BA_Rep4","sl_FLT_BA_Rep5","sl_FLT_BG_Rep1","sl_GC_BA_Rep1","sl_GC_BA_Rep2","sl_GC_BA_Rep3","sl_GC_BA_Rep4","sl_GC_BA_Rep5","sl_GC_BG_Rep1","UdCC_FLT_BB_Rep1","UdCC_FLT_BB_Rep2","UdCC_FLT_BB__Rep3","UdCC_FLT_BB_Rep4","UdCC_FLT_BG_Rep1","UdCC_FLT_BG_Rep2","UdCC_GC_BB_Rep1","UdCC_GC_BB_Rep2","UdCC_GC_BB_Rep3","UdCC_GC_BB_Rep4","UdCC_GC_BG_Rep1","UdCC_GC_BG_Rep2"
" AT5G57280","AT5G57280","",3,3,2,3,3,3,2,2,2,2,2,3,2,2,2,2,2,2,1,1,2,2,2,1
" AT5G59480","AT5G59480","",3,2,2,2,3,2,1,2,2,2,2,2,2,2,1,3,2,3,2,1,2,3,3,2
" AT1G10990","AT1G10990","",2,3,2,3,3,3,2,2,4,3,3,3,3,2,2,3,2,3,2,4,3,2,2,2
" AT1G59970","AT1G59970","",3,2,2,2,2,3,3,2,2,2,2,3,3,3,3,3,4,2,3,3,2,4,3,2
" AT3G15770","AT3G15770","",3,3,3,3,3,4,4,3,2,2,2,3,2,3,2,3,2,2,3,2,2,2,2,3
" AT3G17780","AT3G17780","",3,4,3,3,3,3,3,4,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2
" AT3G59640","AT3G59640","",3,3,2,2,3,3,3,2,3,2,3,2,3,2,3,2,3,2,2,2,4,2,3,4
" AT4G29220","AT4G29220","",3,3,3,3,4,3,3,3,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3
" AT5G20060","AT5G20060","",3,3,2,4,3,3,3,3,3,3,2,4,2,2,3,2,2,2,2,3,3,2,2,2
" AT5G43700","AT5G43700","",2,1,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,1,1,0,0,1,1,1
