"User_ID sorted by SD","Ensembl_gene_id","symbol","sl_FLT_BA_Rep1","sl_FLT_BA_Rep2","sl_FLT_BA_Rep3","sl_FLT_BA_Rep4","sl_FLT_BA_Rep5","sl_FLT_BG_Rep1","sl_GC_BA_Rep1","sl_GC_BA_Rep2","sl_GC_BA_Rep3","sl_GC_BA_Rep4","sl_GC_BA_Rep5","sl_GC_BG_Rep1","UdCC_FLT_BB_Rep1","UdCC_FLT_BB_Rep2","UdCC_FLT_BB__Rep3","UdCC_FLT_BB_Rep4","UdCC_FLT_BG_Rep1","UdCC_FLT_BG_Rep2","UdCC_GC_BB_Rep1","UdCC_GC_BB_Rep2","UdCC_GC_BB_Rep3","UdCC_GC_BB_Rep4","UdCC_GC_BG_Rep1","UdCC_GC_BG_Rep2"
" AT1G54410","AT1G54410","",12,12,12,12,12,12,10,12,12,12,12,12,2,3,2,2,5,2,2,3,2,2,2,3
" AT1G62480","AT1G62480","",10,10,10,10,10,10,9,10,10,10,9,10,2,1,2,2,2,2,3,2,1,1,2,2
" AT1G09310","AT1G09310","",10,10,9,10,10,10,2,9,9,9,9,9,2,1,1,3,2,2,2,2,3,1,3,2
" AT3G16400","AT3G16400","",9,9,9,9,9,9,7,9,9,9,9,9,2,1,2,4,5,1,1,2,2,2,2,1
" AT2G05520","AT2G05520","",10,9,10,9,10,9,6,9,8,9,10,9,2,2,2,3,3,2,2,1,2,2,2,2
" AT1G20440","AT1G20440","",8,9,8,9,8,8,8,9,9,8,9,8,1,1,2,1,1,1,3,2,1,4,3,2
" AT4G23670","AT4G23670","",9,9,8,8,8,8,4,8,9,8,8,8,2,1,1,2,3,1,3,1,1,2,1,2
" AT5G14920","AT5G14920","",9,9,9,9,9,9,2,9,9,9,9,9,3,2,2,2,3,2,2,2,2,2,2,2
" AT2G30870","AT2G30870","",8,8,8,7,8,8,4,8,8,8,8,8,2,2,1,1,2,1,1,2,2,1,1,1
" AT4G30170","AT4G30170","",8,8,8,7,8,8,3,8,8,8,8,8,1,2,1,2,1,2,2,1,1,2,1,2
" AT1G12080","AT1G12080","",9,9,9,9,8,8,4,8,8,8,8,8,2,2,3,2,2,2,1,3,1,1,2,2
" AT4G21960","AT4G21960","",9,9,9,9,9,9,7,9,9,9,9,9,2,2,3,3,2,3,2,2,2,3,2,2
" AT3G18780","AT3G18780","",9,10,10,9,9,10,10,10,10,10,10,10,2,2,2,4,3,3,3,4,5,3,4,2
" AT1G62510","AT1G62510","",7,8,8,8,7,8,5,8,8,8,7,7,2,1,1,2,3,1,1,1,1,1,2,3
" AT5G40450","AT5G40450","",8,8,8,8,8,8,8,8,8,8,8,8,1,1,1,1,3,2,2,2,2,2,3,3
" AT2G06850","AT2G06850","",8,8,7,8,8,8,2,7,8,7,8,8,2,2,2,1,1,3,2,1,2,2,1,1
" AT1G72150","AT1G72150","",8,8,8,8,8,9,8,9,9,9,8,9,2,1,1,3,3,2,2,3,4,2,2,2
" AT3G16770","AT3G16770","",12,12,12,12,12,12,11,12,12,12,12,12,6,5,4,6,4,5,4,4,5,3,4,5
" AT3G09260","AT3G09260","",9,9,9,9,10,9,6,9,9,9,9,9,3,2,2,4,1,3,3,5,4,2,1,4
" AT2G45820","AT2G45820","",8,8,8,8,7,7,5,8,7,8,8,8,2,2,1,2,1,1,2,3,2,1,2,2
" AT1G62380","AT1G62380","",9,9,9,9,9,9,6,9,9,9,9,9,5,4,2,6,1,2,3,3,3,2,1,4
" AT2G01530","AT2G01530","",8,8,9,8,8,8,6,9,9,8,8,8,2,2,2,2,3,2,2,1,4,2,2,2
" AT5G53980","AT5G53980","",7,7,7,7,7,7,1,7,7,6,6,7,1,1,1,1,1,1,2,2,2,1,1,1
" AT1G70830","AT1G70830","",8,8,8,8,8,9,7,8,8,8,8,8,2,2,3,2,3,2,2,1,2,2,2,2
" AT3G22235","AT3G22235","",9,9,9,9,9,8,9,9,9,9,9,9,2,4,1,3,4,3,4,6,3,1,5,2
" AT5G14780","AT5G14780","",8,8,8,8,8,8,7,8,8,8,8,8,4,3,3,4,1,2,2,2,2,1,2,1
" AT2G41730","AT2G41730","",2,1,1,2,2,2,8,2,2,1,2,2,7,8,7,8,5,7,8,8,8,7,7,7
" AT2G38800","AT2G38800","",8,8,9,8,9,8,9,9,9,9,8,9,3,4,2,5,2,2,2,2,4,2,3,2
" AT3G46230","AT3G46230","",3,3,3,3,3,3,11,3,4,2,3,3,11,10,9,11,8,11,7,5,8,8,8,8
" AT2G03890","AT2G03890","",7,6,7,7,6,7,4,7,6,7,7,7,1,2,1,1,2,1,1,2,1,1,1,1
" AT5G09530","AT5G09530","",8,8,8,8,7,8,7,7,7,8,8,7,2,1,2,2,3,2,4,6,1,2,2,1
" AT1G06530","AT1G06530","",8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,4,3,2,2,1,3,2,2,3
" AT1G64640","AT1G64640","",8,8,7,8,7,8,1,7,7,7,8,7,2,3,2,3,3,2,2,1,4,1,2,1
" AT5G16730","AT5G16730","",6,6,7,6,7,7,5,6,7,6,6,6,1,1,1,2,1,1,1,1,1,1,1,1
" AT1G70850","AT1G70850","",8,8,8,8,7,7,6,8,8,8,7,8,3,1,1,2,2,2,3,2,2,3,2,2
" AT4G38080","AT4G38080","",7,8,7,7,6,6,7,7,7,7,6,7,1,1,1,3,4,1,3,1,1,2,2,1
" AT2G26400","AT2G26400","",2,2,3,2,6,5,8,2,2,2,2,2,9,9,5,9,5,8,9,9,8,8,8,7
" AT5G53880","AT5G53880","",11,11,10,10,10,10,4,11,10,10,10,10,3,3,3,5,7,3,5,6,5,3,5,3
" AT2G34585","AT2G34585","",7,7,8,7,8,7,5,8,8,7,8,8,2,2,2,2,2,1,2,3,3,2,2,1
" AT5G38410","AT5G38410","",8,8,6,8,9,7,6,6,7,8,8,7,1,1,2,3,4,3,2,2,1,3,2,2
" AT1G50480","AT1G50480","",6,7,7,7,7,7,7,7,6,6,6,6,1,1,1,2,2,1,1,3,1,2,1,2
" AT2G39570","AT2G39570","",8,8,8,8,8,8,7,8,8,8,7,8,2,2,2,2,3,2,2,4,2,2,3,2
" AT5G66040","AT5G66040","",8,9,9,9,8,8,8,9,9,8,8,8,2,3,3,2,4,3,3,2,3,2,3,3
" AT3G43800","AT3G43800","",7,7,7,6,7,7,3,8,7,7,6,7,1,2,1,2,2,1,2,2,1,4,1,2
" AT1G64190","AT1G64190","",7,8,8,8,8,8,6,8,8,8,7,8,2,2,3,2,2,1,3,4,2,3,2,2
" AT2G37130","AT2G37130","",9,10,10,9,9,10,6,9,10,9,9,9,3,4,3,4,3,3,3,4,4,4,2,3
" AT1G25230","AT1G25230","",7,7,7,7,6,7,2,7,7,6,7,7,1,1,2,1,1,1,2,3,2,2,2,2
" AT1G05850","AT1G05850","",7,7,7,7,7,8,5,7,7,7,7,7,1,2,1,2,1,2,2,2,2,2,2,2
" AT4G38770","AT4G38770","",7,8,7,8,7,7,2,6,7,7,8,6,2,1,1,2,2,1,2,2,3,2,2,3
" AT5G15230","AT5G15230","",9,9,8,9,9,9,7,8,8,8,9,9,3,3,2,5,2,5,3,4,5,4,2,1
" AT1G27030","AT1G27030","",7,7,7,7,7,7,5,8,7,7,7,7,2,1,2,2,2,1,2,3,2,2,2,1
" AT2G26150","AT2G26150","",2,3,2,2,3,2,9,2,2,2,2,3,10,9,6,9,7,10,3,3,4,3,4,4
" AT4G34620","AT4G34620","",7,7,7,7,7,7,5,6,7,7,6,7,1,2,1,2,1,2,2,2,2,2,2,1
" AT1G01620","AT1G01620","",8,8,7,8,7,8,4,7,7,7,7,7,2,1,3,3,2,2,2,2,1,3,2,2
" AT2G22080","AT2G22080","",9,9,9,8,8,9,7,9,8,9,9,9,2,3,3,6,7,4,5,2,5,2,5,1
" AT1G20620","AT1G20620","",10,10,10,10,10,10,9,11,11,10,10,10,5,5,4,6,2,5,4,5,4,4,4,3
" AT4G35720","AT4G35720","",8,8,7,8,7,7,2,7,7,7,8,7,3,2,2,3,4,2,1,2,2,2,2,2
" AT4G17340","AT4G17340","",7,7,7,7,7,7,3,8,7,7,7,8,3,3,1,2,1,2,2,2,2,2,2,2
" AT3G22120","AT3G22120","",7,7,7,7,8,8,5,6,7,7,7,7,2,2,2,2,1,2,2,1,2,3,2,2
" AT1G53540","AT1G53540","",4,4,4,3,3,4,12,4,4,3,2,4,11,10,9,11,7,10,7,7,8,8,8,8
" AT1G35160","AT1G35160","",7,7,7,7,7,7,6,7,6,7,6,7,1,1,1,2,6,1,1,4,3,2,3,2
" AT2G45180","AT2G45180","",7,7,7,7,7,7,5,7,7,7,7,7,1,3,2,1,2,2,2,2,3,2,2,1
" AT5G41700","AT5G41700","",9,8,9,8,8,8,9,9,9,9,9,9,4,4,3,5,2,3,4,3,3,2,3,3
" AT2G28840","AT2G28840","",8,8,8,8,8,8,8,8,8,8,8,8,2,3,2,2,2,3,4,2,5,3,4,2
" AT5G65020","AT5G65020","",7,6,6,6,7,7,3,6,5,6,6,7,1,1,1,2,1,1,2,2,1,2,1,2
" AT3G61430","AT3G61430","",6,6,6,6,6,6,3,7,6,7,6,6,1,2,2,1,1,1,2,1,1,1,1,2
" AT5G45500","AT5G45500","",6,6,6,6,7,7,7,6,7,7,7,6,2,2,2,1,1,2,1,2,2,2,1,2
" AT1G22300","AT1G22300","",6,7,7,6,7,7,4,6,7,7,6,7,2,2,1,2,3,1,3,2,2,1,1,1
" AT1G74250","AT1G74250","",8,8,8,8,8,8,8,8,7,8,8,8,2,5,2,5,6,2,3,2,4,2,2,2
" AT2G43680","AT2G43680","",7,7,7,7,7,7,6,7,7,7,7,7,1,2,2,2,3,1,4,3,2,1,2,2
" AT3G05900","AT3G05900","",8,8,8,8,8,8,6,8,8,8,8,8,3,2,2,3,3,3,3,3,3,1,3,3
" AT4G23400","AT4G23400","",7,8,7,8,7,8,5,7,7,7,7,7,3,2,2,2,2,2,2,2,2,2,2,2
" AT1G75750","AT1G75750","",9,9,9,9,10,9,7,9,9,9,9,9,3,3,3,2,2,3,5,5,6,3,5,5
" AT3G16460","AT3G16460","",9,9,9,9,9,9,7,9,9,9,9,9,4,4,3,5,3,4,3,5,2,3,2,4
" AT1G59860","AT1G59860","",1,1,1,1,1,1,7,1,1,1,1,1,8,5,2,8,4,8,3,3,2,1,3,3
" AT4G37370","AT4G37370","",1,1,2,2,2,2,7,2,2,2,2,2,7,7,4,7,5,7,7,9,7,6,6,6
" AT3G21720","AT3G21720","",3,3,4,3,7,5,9,3,4,3,3,3,9,10,8,9,7,10,9,10,9,9,9,9
" AT2G46600","AT2G46600","",7,7,8,7,7,7,4,7,7,7,7,7,2,2,2,2,2,1,2,2,3,2,2,2
" AT4G26710","AT4G26710","",6,6,6,6,6,6,6,6,7,6,6,6,1,2,1,2,1,1,1,2,2,1,2,1
" AT1G16030","AT1G16030","",3,3,3,3,3,3,11,3,3,2,3,3,10,9,7,10,6,9,3,3,4,3,5,3
" AT3G07230","AT3G07230","",9,9,9,9,9,9,7,8,9,9,9,9,2,4,2,4,4,3,5,5,4,6,3,2
" AT4G35100","AT4G35100","",7,6,5,7,6,6,4,6,5,6,6,6,1,1,2,3,4,1,1,1,1,1,1,1
" AT5G44020","AT5G44020","",7,7,6,7,7,7,2,6,6,6,7,7,1,1,2,2,3,2,2,2,2,1,2,2
" AT5G53140","AT5G53140","",7,7,7,7,7,7,4,7,7,7,7,7,1,2,2,2,5,2,2,1,2,2,3,2
" AT4G02480","AT4G02480","",7,6,7,7,7,7,7,7,6,6,6,6,1,2,1,3,2,3,1,3,1,2,2,2
" AT3G56240","AT3G56240","",8,8,7,8,8,8,6,8,8,7,8,7,4,1,4,2,2,3,1,4,5,2,3,4
" AT4G39675","AT4G39675","",6,6,6,5,7,7,9,6,6,5,6,6,1,2,2,4,1,3,2,2,2,1,1,1
" AT3G16240","AT3G16240","",7,7,6,7,7,7,2,6,6,6,6,6,2,2,2,1,1,2,2,1,1,2,3,2
" AT4G10480","AT4G10480","",7,7,7,7,7,7,5,7,7,7,7,7,2,2,2,3,3,1,2,2,2,3,1,2
" AT2G39010","AT2G39010","",7,7,7,7,7,7,3,7,7,6,6,7,2,2,2,2,2,2,2,2,2,2,1,2
" AT4G23100","AT4G23100","",7,8,7,7,8,8,8,8,7,7,7,8,3,3,2,5,3,4,2,2,3,1,3,2
" AT5G49720","AT5G49720","",8,8,7,8,8,8,7,7,7,7,8,8,3,2,1,4,3,4,3,3,2,3,3,2
" AT3G49120","AT3G49120","",7,6,7,6,7,7,7,6,6,6,7,6,1,2,2,2,2,1,2,2,2,2,2,2
" AT2G40765","AT2G40765","",8,8,8,7,8,8,7,8,8,8,8,8,2,4,1,4,2,2,2,5,5,4,3,5
" AT3G26520","AT3G26520","",8,7,8,8,8,8,5,8,8,8,8,8,3,3,2,3,2,3,3,3,3,3,2,3
" AT3G61260","AT3G61260","",8,7,7,8,7,7,8,7,7,7,7,7,2,3,2,4,2,2,2,4,2,2,3,2
" AT1G12090","AT1G12090","",6,6,6,6,6,6,2,6,6,5,5,6,2,1,1,1,1,1,2,1,2,1,1,2
" AT1G35140","AT1G35140","",3,2,2,3,3,2,5,2,2,2,2,1,7,7,5,6,5,7,7,8,8,8,7,7
" AT2G28670","AT2G28670","",6,5,4,6,5,5,1,6,5,6,6,6,2,1,1,1,1,1,1,2,1,1,1,1
" AT3G09350","AT3G09350","",1,1,1,1,1,1,7,1,1,1,1,1,7,5,3,7,1,7,3,1,2,1,1,1
" AT2G07776","AT2G07776","",2,2,2,1,3,1,2,1,2,3,3,2,6,6,5,6,6,7,7,8,7,6,7,6
" AT3G03780","AT3G03780","",6,6,5,6,6,6,2,5,5,5,6,6,1,1,1,1,1,1,2,2,1,2,1,1
" AT3G11280","AT3G11280","",6,6,6,6,6,6,3,6,6,6,6,6,1,1,2,1,2,1,2,1,2,2,1,2
" AT5G23020","AT5G23020","",6,6,6,6,6,7,2,6,5,5,6,6,2,1,2,1,2,1,1,2,2,1,1,2
" AT5G49760","AT5G49760","",7,7,7,7,7,7,4,7,7,7,7,7,2,1,1,4,6,3,2,5,3,1,2,4
" AT4G23680","AT4G23680","",7,7,7,7,7,7,4,7,7,6,6,7,2,2,2,2,4,2,2,1,2,2,3,2
" AT5G25460","AT5G25460","",6,7,5,7,6,6,3,5,5,6,6,6,1,2,2,2,2,1,1,1,2,1,2,1
" AT3G51600","AT3G51600","",7,7,6,6,7,8,2,5,5,6,7,6,3,2,3,1,1,2,3,2,1,3,1,3
" AT5G44340","AT5G44340","",7,8,8,8,8,8,6,8,8,8,8,8,4,3,2,4,2,2,5,3,5,2,5,2
" AT5G24930","AT5G24930","",9,8,8,9,9,9,8,9,8,9,9,9,3,4,3,5,5,5,3,3,4,3,7,2
" AT2G25650","AT2G25650","",7,7,7,7,7,7,6,7,6,7,8,7,2,2,2,4,8,2,2,2,4,2,3,2
" AT2G03680","AT2G03680","",7,7,7,7,7,7,3,7,7,7,7,7,2,3,3,2,2,3,4,3,2,2,2,1
" AT5G63600","AT5G63600","",8,8,9,8,8,9,8,8,9,8,8,9,3,3,5,4,3,4,2,5,4,2,3,5
" AT2G22860","AT2G22860","",5,6,5,5,5,5,6,6,5,6,5,5,1,2,2,1,1,1,1,1,1,1,1,1
" AT4G10840","AT4G10840","",7,7,7,7,7,7,8,7,7,7,7,7,3,2,2,3,2,2,4,2,3,2,3,2
" AT1G09570","AT1G09570","",6,6,5,7,6,7,6,6,7,6,6,6,2,1,2,1,2,4,2,1,2,2,2,2
" AT4G14130","AT4G14130","",6,6,5,6,6,6,2,5,4,5,6,5,1,1,1,1,1,2,1,1,2,2,1,1
" AT2G07715","AT2G07715","",2,2,2,2,3,2,2,2,3,3,3,2,7,7,6,7,5,7,7,8,7,7,7,7
" ATMG00510","ATMG00510","",2,2,3,2,2,1,3,2,3,2,3,2,7,7,7,6,5,7,7,7,7,6,7,7
" AT3G26450","AT3G26450","",6,6,7,6,6,6,3,6,7,6,6,6,2,2,2,1,2,2,2,1,2,1,2,2
" AT1G72160","AT1G72160","",6,7,6,7,7,7,5,7,6,7,6,7,2,2,2,3,4,2,1,2,2,2,2,2
" AT1G65960","AT1G65960","",6,6,6,7,6,7,2,6,5,6,6,6,1,2,2,2,2,2,2,1,2,2,2,1
" AT3G11450","AT3G11450","",7,6,7,7,7,7,6,7,6,6,7,6,3,1,3,1,3,3,2,2,2,2,2,3
" AT4G08580","AT4G08580","",5,5,5,6,6,6,7,5,5,5,5,5,1,1,1,2,2,1,2,1,1,1,2,1
" AT4G35230","AT4G35230","",7,7,7,7,7,7,7,8,6,7,7,7,3,3,2,3,2,2,2,2,5,2,2,3
" AT5G26280","AT5G26280","",6,6,6,6,7,6,2,6,6,6,6,6,2,1,1,3,2,2,3,2,2,2,1,1
" AT5G54160","AT5G54160","",7,7,6,7,7,7,2,7,6,7,7,7,2,2,2,3,2,2,2,3,3,2,3,2
" AT3G22620","AT3G22620","",6,5,5,6,5,6,4,5,5,6,5,5,1,1,1,2,3,1,1,1,1,1,1,1
" AT4G13780","AT4G13780","",7,7,7,7,7,8,8,7,7,7,7,7,2,2,2,3,2,3,2,4,3,4,2,3
" AT4G22310","AT4G22310","",6,6,6,5,6,6,3,5,6,5,5,6,2,2,1,2,1,1,1,1,2,2,1,1
" AT2G01090","AT2G01090","",6,6,6,6,6,6,5,6,5,6,5,6,1,2,1,2,4,2,1,1,1,2,3,1
" AT5G04800","AT5G04800","",7,6,6,7,7,7,5,7,6,6,6,7,3,2,2,2,2,1,3,2,3,3,1,2
" AT1G19000","AT1G19000","",7,7,7,7,7,8,7,8,8,7,7,8,3,3,2,5,4,4,3,3,2,2,2,2
" AT2G17710","AT2G17710","",7,7,8,7,7,7,6,8,7,7,7,8,4,2,2,3,2,3,3,3,3,3,2,2
" AT2G34750","AT2G34750","",5,6,5,6,6,6,5,6,6,6,5,6,4,2,1,1,2,2,1,1,2,1,2,1
" AT3G19820","AT3G19820","",7,7,6,7,6,7,4,6,6,6,6,7,2,1,2,2,2,2,2,3,2,2,2,2
" AT1G08580","AT1G08580","",7,6,6,6,7,7,6,6,6,6,6,7,1,2,1,4,2,2,3,4,3,2,1,2
" AT1G16810","AT1G16810","",7,6,7,6,6,7,6,6,6,6,7,6,3,1,2,4,2,2,3,4,2,2,1,1
" AT1G74310","AT1G74310","",3,3,3,3,4,4,9,4,2,3,3,3,10,9,8,10,4,9,4,4,5,5,6,4
" AT2G30860","AT2G30860","",9,8,8,8,8,8,4,8,8,8,8,9,3,3,3,3,3,3,5,4,4,3,3,3
" AT4G12340","AT4G12340","",7,7,8,7,7,8,7,8,8,8,8,8,3,2,3,4,5,3,2,3,2,4,3,3
" AT3G04720","AT3G04720","",7,8,8,7,8,7,7,8,8,8,7,8,3,4,3,1,3,3,3,4,4,3,5,2
" AT4G34050","AT4G34050","",6,6,6,5,6,5,1,6,6,6,6,6,2,2,2,1,1,1,2,2,2,1,2,3
" AT4G32530","AT4G32530","",5,6,6,6,6,6,5,6,6,6,6,6,1,2,2,2,1,2,2,1,2,1,2,2
" AT2G14900","AT2G14900","",7,8,8,7,7,7,5,7,7,7,7,7,2,3,2,3,2,3,3,4,3,1,3,3
" AT5G04470","AT5G04470","",5,5,5,5,5,5,5,5,5,5,5,6,1,1,1,1,1,1,2,1,1,1,1,1
" AT1G59900","AT1G59900","",7,7,7,7,7,7,8,7,7,7,7,7,2,4,2,5,4,5,2,2,2,3,2,2
" AT3G16430","AT3G16430","",8,8,8,8,8,8,6,8,8,8,8,8,3,3,2,3,3,3,5,4,3,3,3,4
" AT4G18930","AT4G18930","",6,6,6,6,6,6,6,6,6,6,6,6,1,3,2,2,1,2,2,5,2,1,1,3
" AT2G47520","AT2G47520","",2,2,2,2,3,2,7,2,3,2,1,1,8,7,5,8,3,7,5,6,5,5,5,4
" AT3G20410","AT3G20410","",4,4,6,5,5,6,6,6,5,5,5,5,1,2,1,1,1,1,1,1,1,2,1,2
" AT1G52200","AT1G52200","",4,5,5,5,5,5,7,5,6,5,4,6,1,3,2,1,1,1,1,1,2,1,1,1
" AT4G17730","AT4G17730","",6,6,6,6,6,6,6,6,6,6,6,6,2,1,2,4,3,1,1,1,2,3,2,2
" AT2G19760","AT2G19760","",7,7,6,7,7,7,6,7,7,7,6,7,3,2,2,3,2,3,2,1,4,2,3,3
" AT2G07695","AT2G07695","",3,3,3,3,3,2,3,3,3,4,4,4,8,8,7,8,6,8,8,8,8,8,8,8
" ATMG00070","ATMG00070","",4,4,3,4,4,3,3,3,2,5,4,4,8,8,7,8,7,8,8,9,9,8,9,9
" AT4G13520","AT4G13520","",8,8,8,8,8,8,7,8,8,8,7,8,3,4,2,6,2,3,4,5,4,3,3,3
" AT1G54050","AT1G54050","",2,2,2,2,2,2,9,1,1,1,2,2,7,6,4,7,5,6,3,2,3,2,2,4
" AT5G65880","AT5G65880","",7,8,8,8,7,8,6,8,8,8,7,8,2,4,2,4,3,3,4,3,4,3,3,3
" AT2G22170","AT2G22170","",6,6,5,6,7,7,3,6,6,6,6,5,1,2,2,3,2,2,2,1,2,3,1,2
" AT1G21190","AT1G21190","",5,6,5,5,5,6,5,6,6,5,5,6,1,1,2,1,1,2,2,2,2,1,1,2
" AT4G24190","AT4G24190","",7,7,5,6,6,6,2,5,6,6,6,6,1,4,2,2,2,1,3,3,2,2,2,1
" AT3G22960","AT3G22960","",6,6,6,6,6,6,2,6,5,6,6,6,2,1,2,2,1,2,2,2,2,3,2,1
" AT1G20450","AT1G20450","",7,6,7,7,7,7,5,6,7,6,7,6,3,1,2,3,4,4,2,2,4,1,3,2
" AT2G42490","AT2G42490","",6,6,6,6,6,7,6,7,6,6,6,6,1,3,3,1,2,2,3,1,2,2,3,3
" AT3G13460","AT3G13460","",7,7,7,7,7,7,7,7,7,7,7,7,5,2,1,5,2,4,4,4,4,2,2,2
" AT5G49640","AT5G49640","",7,7,7,8,7,8,9,8,7,7,7,7,3,3,5,7,5,3,4,7,5,2,2,1
" AT4G32760","AT4G32760","",6,6,6,6,6,6,7,6,6,6,6,6,3,3,2,2,3,1,2,2,3,1,2,1
" AT1G16460","AT1G16460","",6,6,6,6,6,6,6,7,6,6,6,7,2,4,3,3,2,2,2,2,1,1,2,2
" AT4G11320","AT4G11320","",6,6,6,7,6,6,2,6,5,6,6,6,1,2,2,2,3,2,2,1,1,3,3,2
" AT1G19570","AT1G19570","",5,6,5,5,5,6,2,5,5,5,5,5,1,1,1,2,2,2,1,1,1,1,1,1
" AT1G75630","AT1G75630","",6,7,7,7,6,7,6,7,7,7,6,7,2,3,2,5,2,3,3,3,4,2,1,2
" AT3G51270","AT3G51270","",7,6,6,7,6,7,5,6,5,6,6,6,2,2,1,3,3,2,2,3,1,2,2,2
" AT1G03870","AT1G03870","",5,6,5,5,5,5,1,5,4,5,5,5,1,1,2,1,1,1,1,1,1,2,1,1
" AT4G18710","AT4G18710","",5,6,5,6,6,5,5,6,5,6,5,6,2,2,1,2,1,2,2,2,2,1,1,1
" AT5G19770","AT5G19770","",7,7,6,7,7,7,4,6,6,6,6,6,2,2,2,2,3,2,2,2,3,2,2,2
" AT4G32240","AT4G32240","",7,7,7,7,7,7,7,7,7,7,7,7,4,3,3,2,1,3,3,2,4,2,4,3
" AT1G18540","AT1G18540","",7,6,6,6,6,6,4,6,6,6,6,6,3,1,1,2,2,2,2,4,3,2,1,2
" AT4G14410","AT4G14410","",6,7,6,7,6,7,6,6,7,6,6,6,2,2,2,2,2,2,2,2,2,2,3,3
" AT5G66490","AT5G66490","",6,7,7,6,7,7,6,7,6,7,7,7,3,2,2,2,2,3,2,2,2,3,4,3
" AT3G14600","AT3G14600","",7,7,7,7,7,7,6,6,6,7,6,7,1,3,2,3,2,2,4,4,5,3,2,2
" AT5G04590","AT5G04590","",6,6,6,6,7,6,6,6,6,6,6,7,2,3,2,3,2,3,3,2,2,1,2,1
" AT2G15960","AT2G15960","",7,7,7,7,7,7,8,8,8,8,7,8,4,3,4,5,1,5,3,3,2,3,3,4
" AT1G55330","AT1G55330","",5,6,6,6,5,5,2,4,5,5,5,5,1,2,2,1,1,1,1,2,1,1,2,1
" AT5G43320","AT5G43320","",5,6,6,5,5,6,5,6,5,5,5,5,1,2,2,2,2,1,1,1,2,2,1,1
" AT2G29730","AT2G29730","",5,5,5,5,5,5,2,5,5,5,5,5,1,1,1,3,6,1,1,1,1,2,1,1
" AT1G59870","AT1G59870","",6,6,5,6,6,6,5,6,6,6,6,6,1,1,1,3,2,2,2,2,3,3,1,3
" AT3G14230","AT3G14230","",7,7,7,7,7,7,5,7,7,7,7,7,4,3,3,2,2,3,3,3,2,2,3,2
" AT1G21920","AT1G21920","",6,6,6,6,6,6,6,7,7,6,6,6,3,2,2,3,4,3,2,1,2,1,2,2
" AT5G05170","AT5G05170","",7,7,7,7,7,7,5,7,7,7,6,7,2,2,3,2,3,2,3,4,4,2,3,2
" AT4G26480","AT4G26480","",6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,3,2,2,2,2,3,2,1,1
" AT5G01210","AT5G01210","",6,6,6,7,6,7,3,7,6,6,6,6,3,2,2,2,2,3,3,2,1,2,2,2
" AT2G28000","AT2G28000","",6,7,6,7,7,6,6,6,6,6,6,6,2,2,2,4,3,2,2,2,4,2,2,1
" ATCG00270","ATCG00270","",9,9,8,9,9,9,6,8,8,9,9,8,3,5,2,5,6,5,3,6,4,3,4,5
" AT5G17770","AT5G17770","",7,7,6,7,6,7,3,6,6,6,7,7,2,2,2,2,2,2,4,3,3,2,2,3
" AT2G39260","AT2G39260","",7,7,7,7,7,7,5,6,6,7,7,7,2,3,3,5,6,2,2,3,2,2,2,3
" AT4G13530","AT4G13530","",6,6,7,7,7,7,8,7,6,6,6,7,4,2,4,5,2,2,3,3,3,2,3,1
" AT1G49240","AT1G49240","",8,8,8,8,8,8,7,8,8,8,8,8,4,3,3,4,3,4,4,2,4,4,3,4
" AT1G14740","AT1G14740","",6,7,7,7,7,7,6,7,7,7,7,7,3,2,2,4,3,3,3,3,3,3,3,1
" AT3G56310","AT3G56310","",6,6,6,6,6,6,7,6,6,6,6,6,3,5,2,6,2,4,2,2,2,1,2,1
" AT1G74920","AT1G74920","",6,7,7,6,7,7,6,7,6,6,6,7,2,3,4,4,2,3,3,2,3,2,1,2
" AT3G17020","AT3G17020","",7,8,8,7,8,8,7,8,8,7,8,8,5,5,3,6,2,5,3,3,4,3,3,2
" AT5G44790","AT5G44790","",5,5,5,5,5,6,6,6,5,5,5,5,1,1,1,2,1,1,2,2,2,2,1,2
" AT3G05920","AT3G05920","",7,6,7,7,7,6,4,7,7,7,7,7,3,2,3,2,3,3,2,3,2,3,2,3
" AT4G35310","AT4G35310","",7,6,7,6,6,7,6,6,6,6,7,6,4,3,2,2,2,1,3,2,2,2,3,3
" AT3G14100","AT3G14100","",8,8,8,8,8,8,8,9,8,8,8,9,3,5,3,4,2,3,4,4,5,4,5,4
" AT1G65930","AT1G65930","",9,9,9,9,9,9,7,9,9,9,8,9,4,4,4,5,3,4,5,5,6,4,3,4
" AT1G09415","AT1G09415","",5,5,5,4,5,6,5,5,5,5,5,4,1,1,2,1,1,2,1,1,1,2,1,1
" AT2G36830","AT2G36830","",8,8,8,8,8,8,6,8,8,9,8,8,4,5,5,4,3,4,4,3,3,2,3,4
" AT3G23640","AT3G23640","",6,6,6,6,6,7,6,6,6,6,6,6,2,2,3,3,5,2,1,2,2,2,4,1
" AT5G22580","AT5G22580","",6,6,5,6,6,6,1,4,5,5,4,5,1,1,3,2,3,2,2,1,1,1,2,2
" AT4G02080","AT4G02080","",6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,4,2,3,2,4,2,2,1,2
