Analysis.Id,sl_FLT-BA_Rep1,sl_FLT-BA_Rep2,sl_FLTBA_Rep3,sl_FLT-BA_Rep4,sl_FLT-BA_Rep5,sl_FLT-BG_Rep1,sl_GCBA_Rep1,sl_GC-BA_Rep2,sl_GC-BA_Rep3,sl_GC-BA_Rep4,sl_GC-BA_Rep5,sl_GC-BG_Rep1,UdCC_FLT-BB_Rep1,UdCC_FLT-BB_Rep2,UdCC_FLT-BB__Rep3,UdCC_FLT-BB_Rep4,UdCC_FLT-BG_Rep1,UdCC_FLT-BG_Rep2,UdCC_GC-BB_Rep1,UdCC_GC-BB_Rep2,UdCC_GC-BB_Rep3,UdCC_GC-BB_Rep4,UdCC_GC-BG_Rep1,UdCC_GC-BG_Rep2
Variety,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT
Radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth
Gravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial
Developmental,12 day old Seedlings,12 day old Seedlings,12 day old Seedlings,12 day old Seedlings,12 day old Seedlings,12 day old Seedlings,12 day old Seedlings,12 day old Seedlings,12 day old Seedlings,12 day old Seedlings,12 day old Seedlings,12 day old Seedlings,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture
Time.series.or.Concentration.gradient,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point
Light,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark
Assay..RNAseq.,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling
Temperature,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle,Ambient shuttle
Treatment.type,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight,Space flight
Treatment.intensity,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Treament.timing,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Preservation.Method.,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater,RNALater
