Analysis.Id,FLT_Cen_Rep1,FLT_Cen_Rep2,FLT_uG_Rep1,FLT_uG_Rep2,GC_1G_Rep1,GC_1G_Rep2
AT1G01950,6.833509964,6.78956381,6.891196753,6.847830357,6.842954472,6.818477651
AT1G01960,9.433535177,9.280397116,9.190532857,9.174705031,8.95331662,8.935546322
AT1G01970,6.82697943,6.949672024,6.842066484,6.776631858,6.73983314,6.820751834
AT1G01990,8.506882047,8.409482886,8.216617052,8.233252686,7.990565452,8.002320921
AT1G02000,6.297184004,6.116991083,6.247523621,6.320884346,6.363128168,5.963737457
AT1G02020,5.711236213,5.788520007,6.026730942,5.913441832,5.888097608,5.788520007
AT1G02050,5.619709242,5.665404482,6.044848324,5.721788313,5.47500334,5.558345044
AT1G02060,3.990625722,4.089530884,3.757974149,3.875820395,3.781304743,3.914082609
AT1G02080,9.238303224,9.274380173,9.001293987,9.061889921,8.999231983,8.921687946
AT1G02090,7.628191126,7.652377412,7.464770971,7.720647421,7.631408263,8.043155481
AT1G02100,8.181264936,7.936302434,7.942267133,7.874920189,7.688824281,7.728023182
AT1G02110,8.676498585,8.792682441,8.679945177,8.782553761,8.245894006,8.654566731
AT1G02120,8.438741452,8.331011166,8.578174481,8.558227606,8.231647787,8.204456856
AT1G02130,8.498237367,8.549953586,8.440316724,8.629486352,8.428905434,8.562340171
AT1G02140,11.10983411,11.07864833,10.80634457,10.8717851,10.97286274,11.09106825
AT1G02150,7.7917484,7.566479883,7.465700084,7.442825854,7.226191807,7.41259594
AT1G02160,9.2535559,9.154401937,9.301677801,9.260445045,9.003304338,9.121437298
AT1G02170,8.597620119,8.467357818,8.569228894,8.643491043,9.275597153,9.147920586
AT1G02180,6.306159372,6.222655324,5.872586664,5.917877682,5.988825171,6.014109068
AT1G02205,4.628554155,4.686600037,4.441182535,4.744026622,4.334736457,4.78805908
AT1G02220,6.771387035,5.929662856,6.795720844,6.508786234,6.930755094,6.181383208
AT1G02260,6.601413279,6.316771894,6.639772295,6.456918362,6.571182412,6.32086535
AT1G02270,6.752840794,6.655973654,6.924490045,6.892886282,6.531657401,6.389750008
AT1G02280,8.945475297,8.848546107,8.651899361,8.696321387,8.33073973,8.562288313
AT1G02305,10.57687734,10.32335475,10.21516146,9.963361132,9.973983388,9.583259464
AT1G02310,5.782711753,6.125967376,5.255548434,5.743454457,7.201698196,6.757983783
AT1G02330,7.693312687,7.430502694,7.602155998,7.681092892,7.866910074,7.776712982
AT1G02340,3.449249555,3.184801851,3.350581396,3.363725629,3.862470954,3.54089901
AT1G02360,8.110360595,7.897843603,8.479765934,8.077066805,11.33490611,10.50900545
AT1G02370,7.540503473,7.594253262,7.616966159,7.571253539,7.528367318,7.799265839
AT1G02390,3.853987906,3.965729381,3.71031109,3.667972165,3.767899712,3.839483442
AT1G02400,4.66567092,5.121375481,5.006437065,4.871877432,4.881264372,5.224495462
AT1G02410,8.011137518,8.073631151,7.918729798,7.958184881,8.382931761,8.453456681
AT1G02420,5.834907878,5.797618406,5.674722702,5.6712329,5.581464856,5.680780701
AT1G02450,3.675948188,3.993182731,3.600850354,3.653396322,4.925851667,4.955210139
AT1G02460,5.488203434,5.602929827,5.196840131,5.466405196,5.289470257,5.481465553
AT1G02475,7.092061753,6.964828194,7.243479528,7.273136741,7.091451059,7.170001697
AT1G02500,11.14176956,11.2675027,10.99262455,10.77226622,11.26421762,11.0272599
AT1G02520,5.83202118,5.900488379,5.574354206,5.571176296,7.673530709,6.994480937
AT1G02560,9.219621152,9.228650876,9.088430786,9.221848613,9.341505642,9.261487162
AT1G02575,5.013678494,5.288285089,4.90390403,4.985222488,5.075021758,5.25519044
AT1G02640,4.104823235,4.086812879,3.809430234,3.599446969,3.605245812,3.667713077
AT1G02660,5.575174527,5.660904435,5.411944743,5.621126211,6.710477746,6.094431333
AT1G02670,4.352191043,4.124690173,4.484081543,4.633058324,4.227236098,4.576090492
AT1G02680,7.269054073,7.100369041,7.3068248,7.373364467,7.360403664,7.627433122
AT1G02690,7.883266018,8.467406788,8.04495975,8.19436143,8.387087898,8.427148616
AT1G02700,3.752944498,3.95469835,3.553928987,3.717147994,3.702072299,3.610786185
AT1G02710,6.302295547,6.399625696,6.122039913,6.252307806,6.148356649,6.251082674
AT1G02720,6.225878753,6.277180923,6.117754316,6.291065241,6.148420338,6.421520682
AT1G02730,7.434240164,8.06299482,7.885229279,8.266371834,8.822884914,8.378910197
AT1G02740,6.612218552,6.432901122,6.789651965,6.847455487,6.64393747,6.729826126
AT1G02750,7.883503054,8.040156547,7.728686777,7.570505298,8.444502579,8.612932328
AT1G02780,12.70473235,12.6906464,12.58113876,12.69572763,12.7771976,12.89976056
AT1G02810,5.614506288,5.028621398,5.956650865,5.263251957,4.839961345,4.92875938
AT1G02816,7.946068602,7.908442698,7.935462329,7.838481291,8.209973671,7.880365387
AT1G02840,9.636818123,9.592251656,9.626464093,9.603463298,9.68207012,9.83300502
AT1G02850,6.363995812,6.045005656,5.770898394,5.622716304,6.060511899,6.428974769
AT1G02860,8.343174674,7.966514523,8.074963255,7.95452654,7.710296036,7.703835122
AT1G02870,9.602095501,9.845504714,9.359561243,9.604658436,9.538232639,9.777651857
AT1G02890,8.851511937,8.731660714,8.546438115,8.516287857,8.450896078,8.335997008
AT1G02900,5.305783231,5.069284787,5.468405211,5.388394784,6.633335922,5.749053418
AT1G02910,6.435804201,5.945398415,6.255313947,6.177989596,6.417289723,6.647274837
AT1G02950,3.864730697,3.889809441,3.621556211,3.669123871,3.759361587,3.758823119
AT1G02960,6.733672158,6.602185502,6.688869001,6.693600952,6.381887047,6.575804325
AT1G02970,6.941293563,7.200273908,6.922120645,7.173313469,6.999907504,7.356687215
AT1G03000,7.967686777,7.782361035,8.026590983,7.788743002,7.668716513,7.667132381
AT1G03010,3.064675776,3.107143713,2.862656517,2.976679715,3.114062544,2.862886138
AT1G03030,7.299993622,7.310868761,7.398776684,7.392889782,7.19323772,7.302618467
AT1G03040,8.135654768,8.003203666,7.860480979,7.667079604,7.210304949,7.28329055
AT1G03060,7.435319283,7.322651172,7.723991799,7.673119334,7.593092759,7.324391582
AT1G03070,7.9880672,7.574169885,6.870910702,7.249417922,6.590549226,6.724575536
AT1G03080,6.434008785,5.529099999,6.304511906,5.915636222,6.107287373,6.002797488
AT1G03090,8.003734489,7.828715424,7.930714504,7.942126802,9.006406487,9.193048747
AT1G03100,6.14197255,6.143304192,5.930629875,6.15765058,6.169418942,6.149613579
AT1G03110,7.235537335,7.261193307,7.495726218,7.703798388,7.653291169,7.76681848
AT1G03130,7.322439942,7.130944792,7.002011505,6.773974253,6.281485607,6.158246885
AT1G03150,8.105643476,8.311859399,7.997243728,8.236225166,8.358234471,8.630301831
AT1G03160,5.599923696,5.702436187,5.368202272,5.761225421,5.575141682,5.460839137
AT1G03180,5.615297195,5.855324796,5.744613725,5.885819667,6.311961494,6.31158494
AT1G03190,6.921803848,6.949074391,6.757869226,6.668777137,7.00282582,6.963845115
AT1G03200,3.399016335,3.62854667,3.452331459,3.604372513,3.516781214,3.661960609
AT1G03210,8.042452655,7.730643629,8.400648749,8.240664655,8.907870566,8.893297681
AT1G03220,12.1413969,11.93543893,11.95746911,11.89381343,12.77585167,12.58938504
AT1G03250,7.082219968,7.090876029,7.232175113,7.181333148,7.225143941,7.178513411
AT1G03260,7.057062791,7.155253384,7.196831959,7.098765625,6.97185718,7.155730095
AT1G03270,5.506954625,5.425333622,5.534906665,5.338341536,5.043538596,5.192060077
AT1G03280,8.209514933,7.996244665,7.884166583,7.992553751,7.672847792,7.728501236
AT1G03290,7.887695006,7.913160206,7.858336159,7.724163264,8.508163567,8.340743065
AT1G03300,4.996135761,4.77914565,4.896595881,4.988167254,4.70818703,4.442399482
AT1G03310,7.318310114,7.107854723,7.253226427,7.175566204,6.574499832,6.608163198
AT1G03330,9.930831406,10.06817512,10.0625947,10.2095547,10.38670712,10.38723627
AT1G03350,8.451762166,8.53781925,8.568298588,8.761728222,8.688292086,8.622570626
AT1G03360,6.824453948,6.822910502,6.597520709,6.94967926,6.990208009,7.364714542
AT1G03370,7.100239116,7.232409296,7.122364358,7.266773477,7.715639322,7.568662834
AT1G03380,7.695694786,7.442698028,7.647627081,7.185812094,7.365506876,7.022032657
AT1G03410,4.812195079,4.844594013,4.768279426,4.835601876,4.918822048,4.856335985
AT1G03430,7.585781603,7.512464802,7.680829567,7.7827206,7.505783839,7.452644576
AT1G03440,6.237628045,6.435574854,5.97602481,6.419372172,5.98140487,6.027318792
AT1G03445,5.749869543,6.204920668,5.840718895,6.06393379,6.191266126,6.080707525
AT1G03457,5.087392742,5.457668201,5.120706329,4.900194686,5.114901275,5.226221828
AT1G03470,6.442538959,6.646356259,6.529484421,6.793420478,6.90219548,6.655213879
AT1G03475,7.673137333,7.753561412,7.52811803,7.583366993,7.56260167,7.797007337
AT1G03510,4.0805954,4.166950136,3.977547483,4.076769077,4.263958128,4.150530272
AT1G03520,5.38146498,5.605981794,5.2782234,5.446707501,4.80653512,5.022426574
AT1G03530,7.159851073,7.39223248,7.135728442,7.340816176,7.016503458,7.339022076
AT1G03550,4.572521344,4.707453473,4.46978358,4.457038159,4.579628117,4.816865237
AT1G03560,4.843527463,4.888468855,4.831937347,4.82737006,4.760080709,4.624319742
AT1G03590,8.273512521,8.153100179,8.123997689,8.098506454,8.410517423,8.120193934
AT1G03600,4.390068337,4.437010259,4.354633306,4.492874468,4.267252226,4.279403968
AT1G03610,10.30919509,10.20363242,9.82497621,9.824072767,9.628489521,9.982250093
AT1G03630,3.934109914,3.850223526,3.725333204,4.043024981,4.111851726,4.104448876
AT1G03660,5.077748236,5.337774888,5.576843606,6.079811853,7.668156556,6.964167004
AT1G03680,8.219474546,8.20758548,8.236447666,8.358745643,7.989636144,8.202679426
AT1G03687,6.913415831,6.804103339,6.891412406,6.907751632,6.552991465,6.829993553
AT1G03710,5.266230998,4.964573649,5.311797434,5.5738441,5.544347686,5.474144736
AT1G03730,7.0352744,7.134904089,7.01874347,7.034282922,7.414268859,7.382139008
AT1G03740,6.572893228,6.285497987,6.367189157,6.112232184,6.504777444,6.058174957
AT1G03750,6.415018463,6.090213045,6.373919063,6.046376222,6.036609539,6.112410084
AT1G03760,8.926224345,9.229757478,8.483386837,8.41558461,8.900437044,8.924929962
AT1G03770,6.529631527,6.629783598,6.171562849,5.958898335,6.587912844,6.514383462
AT1G03780,5.67187036,6.127861331,6.523776267,7.083771867,6.614638453,6.625995168
AT1G03820,9.814549184,10.28842702,10.67043012,10.82221771,9.742354597,10.49800585
AT1G03830,6.579665175,6.904728683,6.672093372,6.774250089,6.753168281,6.629047464
AT1G03840,3.858438702,4.418008768,4.022056299,3.911296098,3.875729861,4.059756427
AT1G03850,6.007945121,5.61283481,5.872586664,5.913915806,11.25685151,10.54906682
AT1G03860,9.938933897,10.11569979,9.615661167,9.746722853,10.02618019,10.1848477
AT1G03870,6.143289279,5.97844727,6.265807056,6.21032951,6.676375661,5.763509788
AT1G03900,10.56766061,10.36969522,10.4262602,10.38609552,10.29081495,10.41213592
AT1G03905,7.221525005,6.827159326,7.38431303,7.170288027,7.94502236,7.621543084
AT1G03910,8.748019485,8.518866962,8.380314772,8.441161922,8.608341048,8.632374579
AT1G03920,3.75401601,3.912959202,3.871354674,3.953271334,3.706063383,3.6738737
AT1G03940,3.722137341,3.814937097,3.368223698,3.410422361,3.520164184,3.650385927
AT1G03950,7.836242887,7.51361906,7.742590485,7.423647178,7.576978757,7.240523512
AT1G03960,4.425342275,4.209966543,4.446379573,4.244705991,4.43054866,4.391729171
AT1G03970,8.224169341,7.991634411,8.305593279,8.063603948,8.391364547,8.32134383
AT1G03990,4.938384769,4.876110912,4.510251188,4.669857338,4.784744464,4.927223516
AT1G04000,5.805356569,5.885194473,5.681554375,5.416114595,5.645505006,5.660106144
AT1G04010,5.604330242,5.635388227,5.206965003,5.47970677,5.390859539,5.62688245
AT1G04020,7.505675024,7.352471132,7.630073943,7.861426226,8.023508618,7.999233929
AT1G04030,5.006099542,5.061759162,5.524181719,6.10835624,5.596492585,5.337641104
AT1G04040,12.01661363,12.07748292,11.62585237,11.50898143,11.05687511,11.35478232
AT1G04050,5.811255836,5.756195792,5.890374887,5.809678098,5.575836213,5.767638121
AT1G04070,7.433711525,7.413335912,7.473219551,7.550404035,7.25361149,7.501666372
AT1G04080,9.275046547,9.340232113,9.043034086,9.102464376,9.138950986,9.122836659
AT1G04090,3.682943814,3.691824465,3.632751938,3.720950215,3.605245812,3.677335664
AT1G04100,7.394892662,7.39223248,7.395314937,7.598233318,7.407219038,7.38893678
AT1G04120,8.330597609,8.177238075,8.031951976,7.924476524,7.936026821,7.696325051
AT1G04130,7.266213806,7.116886454,7.276577223,7.232855861,7.510466969,7.565999428
AT1G04140,8.970874771,8.859990621,8.686497711,8.565954458,8.602080269,8.634276188
AT1G04150,4.68014005,4.862951028,4.315768863,4.578105145,4.68014005,4.805887076
AT1G04160,4.223128297,4.198218099,4.357133015,4.516888453,4.509352157,4.476407756
AT1G04170,10.45080822,10.38256503,10.21208876,10.34600308,10.3017188,10.46940279
AT1G04180,3.288882374,3.28447272,3.044163888,3.381030281,3.22312253,3.26247998
AT1G04190,9.307021331,9.516733406,9.309816956,9.516468492,9.439445976,9.570465949
AT1G04200,7.136742975,7.084815711,7.387923259,7.282680792,7.80251128,7.389174559
AT1G04220,4.20537203,4.414971193,4.105435926,4.36917479,4.331423296,4.395669151
AT1G04230,8.179525283,8.112691985,7.84165936,7.891303649,7.948764671,7.872738517
AT1G04240,2.87702094,2.916347287,3.010458397,2.880958474,2.852083821,3.018425162
AT1G04250,4.936196433,4.889971469,4.374246072,4.641420168,5.391692978,5.066453192
AT1G04260,8.584740756,8.59529889,8.754558995,8.778421899,8.783792771,8.814269179
AT1G04270,11.70912264,11.77705171,11.59153936,11.67206954,11.66018037,11.89125251
AT1G04290,7.434760498,7.323788504,7.574335863,7.869073579,7.929101197,8.042473619
AT1G04300,8.779440079,8.6659028,8.698730153,8.311113035,8.525981534,8.272165222
AT1G04310,7.482334562,7.55690662,7.407623424,7.264736328,6.702058193,7.064974557
AT1G04330,3.361846889,3.68793273,3.354319503,3.454169199,3.457933235,3.53352954
AT1G04340,8.472628694,8.612755127,8.426604229,8.646086303,8.848150446,8.866637871
AT1G04360,4.115514584,4.211384689,4.378655392,3.963478584,4.011371355,3.843872346
AT1G04390,5.794373348,5.534794377,5.396141815,5.52564618,5.57582144,5.581713539
AT1G04400,10.33042701,10.1604178,10.18033221,10.08638369,10.04802948,9.883949178
AT1G04410,12.27704701,12.1306768,12.06650656,12.08609324,12.06967002,12.08843281
AT1G04420,6.615084746,6.578850715,6.6696564,6.881917213,6.583475336,6.67913175
AT1G04430,10.19291565,10.17868916,10.0116749,10.27519152,9.848550246,9.915391861
AT1G04440,9.433248362,9.207509809,9.417823724,9.190331551,9.620264917,9.420234424
AT1G04480,11.37551877,11.56051113,11.4446796,11.52394664,11.68890529,11.90239931
AT1G04490,3.140431995,3.107836211,2.925083174,2.999664749,2.898809543,3.098060028
AT1G04510,9.028753602,9.282610263,8.608369558,8.724252718,8.784423685,8.912347778
AT1G04520,4.686040008,4.953377066,4.83115212,5.148710829,4.596019021,5.048114636
AT1G04530,7.792181815,7.496575064,7.776095859,7.657833109,7.59408669,7.42474166
AT1G04540,5.083024798,5.144123593,4.978697188,4.841742542,4.962815144,5.026746173
AT1G04550,5.714928877,5.852527552,5.666970995,5.705520277,5.703572842,6.012521222
AT1G04590,8.514148979,8.684328483,8.578427794,8.748509671,8.495243109,8.714580175
AT1G04600,4.244180586,4.317775947,4.150530272,4.537821644,3.771159344,3.903283351
AT1G04610,4.870626439,5.045231721,4.939151754,4.926003463,4.932711894,4.832803492
AT1G04620,6.100178696,6.050241213,5.901433695,5.843277539,5.487671908,5.712836553
AT1G04640,6.770028166,6.79143513,6.985150078,6.954858974,7.575486297,7.50892519
AT1G04660,7.184816049,7.403563445,6.977572227,7.164386505,7.059260154,7.332436566
AT1G04680,10.11979294,10.76673152,11.06968467,11.38064834,10.40879325,11.27354965
AT1G04690,10.41592929,10.62780929,10.28773089,10.47711335,10.41688286,10.69281912
AT1G04700,4.917399232,4.838207232,4.753007007,4.984399002,4.267252226,4.817758654
AT1G04710,7.080661031,6.940420004,7.116296836,7.172238704,6.814198533,7.026262911
AT1G04730,5.783726636,5.660806021,5.751361744,5.914899801,5.955287342,6.041203242
AT1G04760,4.575653777,4.883496561,5.223586135,5.520670462,5.413699221,5.24482259
AT1G04770,8.936982052,8.472003541,9.089718437,9.069473821,8.671741927,8.599247194
AT1G04780,8.086671232,8.024832002,8.085608442,7.768468051,8.143299999,7.765248123
AT1G04790,7.100032667,6.849750475,6.624851024,6.974058724,6.835425114,7.025768293
AT1G04810,9.282063423,9.542780192,9.052066136,9.079056196,9.18366884,9.185564923
AT1G04820,10.25263972,10.76177402,10.18793201,10.53244625,10.58053786,10.62898313
AT1G04830,7.772613823,7.747963087,7.487289141,7.586301253,8.018239592,8.050441317
AT1G04840,3.580148724,3.524950458,3.579921562,3.547682898,3.573961486,3.602881163
AT1G04850,9.326673901,9.294613048,9.311467965,9.21947796,9.683620618,9.66057898
AT1G04860,8.053063383,8.029894972,7.68605382,7.835093988,7.925237017,7.851488453
AT1G04870,9.384553927,9.441159974,9.318219147,9.378670156,9.338257598,9.500009003
AT1G04880,6.890770131,7.309537506,6.45361435,6.635598667,6.417856995,6.846129414
AT1G04900,6.980792814,7.143629975,7.230589113,7.430129869,7.302831619,7.479482012
AT1G04910,7.698057383,7.610175906,7.718418649,7.914395608,8.056462244,7.984875815
AT1G04930,6.186349894,6.154127401,5.837652834,5.885963668,5.829799372,6.022262967
AT1G04945,7.409456888,7.314522125,7.347245754,7.415174057,7.104092853,7.403238856
AT1G04950,7.33577124,7.265156352,7.177965103,7.059514342,6.842858095,7.185251864
AT1G04960,9.172622697,9.112696538,8.890743584,8.836860736,9.239376008,9.297277244
AT1G04970,8.187105164,7.834408204,8.174579231,7.917812913,8.204312669,8.125209327
AT1G04980,6.497120392,6.107563387,6.908574068,6.910773949,8.017201086,7.453424444
AT1G04985,8.354740857,8.399544344,8.098431358,8.041793127,8.058405907,8.230788646
AT1G04990,9.026345431,9.014849706,8.887155074,8.970687069,8.942829166,8.979819766
AT1G05000,7.025304969,6.886751479,7.498524697,7.279013598,7.397931116,7.547384848
AT1G05010,10.39546687,10.18615853,10.35054373,9.861386986,10.25860361,9.712857414
AT1G05020,4.775398912,4.737145763,4.554273031,4.473740005,4.685209228,4.753264566
AT1G05030,6.253382745,6.447298764,6.546367708,6.199175116,6.151938638,6.259716812
AT1G05055,8.151475961,8.122838102,8.050377928,8.000651903,8.024774323,8.184212352
AT1G05060,7.787083382,7.837328736,7.705190698,7.664250296,7.858195155,7.847898643
AT1G05070,8.382014724,8.335525477,8.408284328,8.386207546,7.961427483,8.296578186
AT1G05090,8.274890921,8.232711489,8.381220769,8.407238078,8.334939561,8.189328045
AT1G05100,4.822556346,5.045035308,4.588530938,4.878334555,5.08845826,4.920407884
AT1G05120,6.668959965,6.53434111,6.425856171,6.448758611,6.583029255,6.557041181
AT1G05140,6.407760023,6.121846576,6.548588611,6.357820858,5.580567635,5.965098609
AT1G05150,7.782171939,7.657247465,7.731023104,7.83839752,7.752071316,7.681647719
AT1G05160,6.093250163,6.023627568,6.181775254,5.94724324,5.928891727,6.10104538
AT1G05170,5.731430688,5.383168054,5.96324578,5.605801833,5.840451531,5.752526877
AT1G05180,9.80316463,9.790054681,9.706058089,9.760741705,9.960064534,9.988812548
AT1G05190,7.015738922,6.967333366,7.180274739,7.334084973,7.069474104,7.092587821
AT1G05200,5.608797366,5.689038576,5.747303853,5.480811003,5.021276648,5.146164353
AT1G05205,9.331517365,9.564352729,9.658243116,9.728857653,9.544127229,9.68780376
AT1G05210,6.018539079,6.04979698,6.883337035,7.268034007,7.503524692,7.321466782
AT1G05230,4.794634112,4.792104344,4.703756541,4.769735171,4.86165187,4.863584501
AT1G05240,4.122826817,4.173203836,3.853208883,4.006883816,4.003224424,4.236194147
AT1G05260,4.116801549,4.6408086,3.933026176,4.316771022,4.420764051,4.327840211
AT1G05270,6.442063805,6.49411591,6.29070441,6.383989262,6.537020832,6.653153859
AT1G05280,3.369089484,3.477821223,3.378618977,3.361418582,3.456159345,3.338003956
AT1G05300,4.79275415,4.764402102,5.306372383,4.756077347,4.698979133,4.688528894
AT1G05310,3.941143742,4.420632318,3.986414937,4.034454102,3.990455994,4.110573988
AT1G05320,8.7205645,8.719286196,8.783393641,8.310200431,8.571390302,8.536273544
AT1G05340,9.328316135,9.974734987,8.695267986,8.652557676,9.798829509,9.796918015
AT1G05350,7.455753737,7.6416284,7.552225547,7.718414472,7.762174397,7.77353551
AT1G05360,6.077266654,6.111303913,6.25680263,6.377146446,6.451322817,6.538823014
AT1G05370,6.552982571,6.670906831,6.279297007,6.425527965,6.119596841,6.123459863
AT1G05380,8.655933455,8.689171892,8.192229142,8.340741587,8.417676924,8.257912631
AT1G05385,7.031666826,6.724762531,7.024416683,6.975047212,6.636517698,6.906226513
AT1G05400,6.143599588,6.186990128,5.759087008,6.134268177,5.855134914,5.938735405
AT1G05410,8.237381049,8.391948097,8.005849912,8.078275922,8.131926198,8.406159812
AT1G05430,7.892693496,7.859738423,7.953053112,7.940355752,7.875255692,7.88199899
AT1G05440,4.779985862,5.061924032,5.214967757,5.311625395,5.625468661,5.255701964
AT1G05460,6.689515068,6.47301117,6.827762853,6.734254278,6.433457944,6.498593488
AT1G05470,3.245834284,3.484003175,3.32881063,3.520266533,3.539487442,3.472391264
AT1G05490,5.093727233,5.536141695,5.022299,4.989313676,5.717188612,5.541004351
