Analysis.Id,ARG1.KO_FLT_Rep1,ARG1.KO_FLT_Rep2,ARG1.KO_FLT_Rep3,ARG1.KO_FLT_Rep4,ARG1.KO_GC_Rep1,ARG1.KO_GC_Rep2,ARG1.KO_GC_Rep3,ARG1.KO_GC_Rep4,WT_FLT_Rep1,WT_FLT_Rep2,WT_FLT_Rep3,WT_FLT_Rep4,WT_FLT_Rep5,WT_GC_Rep1,WT_GC_Rep2,WT_GC_Rep3,WT_GC_Rep4,WT_GC_Rep5
AT5G43680,2.265126898,2.317958063,2.401627279,2.287115098,2.453117735,2.55653693,2.43305632,2.575719286,2.508096943,2.378442728,2.394627264,2.229011592,2.292057048,2.396851689,2.290680609,2.453238823,2.531071975,2.611277158
AT5G43700,3.308002216,3.286505867,3.618229113,3.432349749,3.89524362,3.757073587,3.550203388,3.602526299,3.422328184,3.398012509,3.212978267,3.326588549,3.350637156,3.230586878,3.593178792,3.357570702,2.785841233,3.637548732
AT5G43710,1.787018766,1.839921852,2.132656725,2.029230457,2.294617142,2.187472171,2.087581255,1.949560982,1.839909703,2.10653146,1.808845814,1.891582853,1.789944252,1.83191679,2.083830563,1.999823441,2.155044703,2.003858924
AT5G43720,5.037583484,5.266951344,5.651670443,5.306056737,5.753987293,5.826952554,5.537307562,5.561373083,5.146120932,5.939604515,5.227631816,5.382208918,5.577841654,5.382438745,5.377446919,5.229004386,5.589009507,6.045595189
AT5G43730,1.905706084,1.980703248,1.796342391,1.760451461,1.816790724,1.948920095,2.025917937,1.99863389,1.776045649,2.067160153,1.805997657,1.984915017,1.88502836,1.872405514,2.151149334,1.752805091,1.817992516,1.940013815
AT5G43740,2.003302008,2.078416183,1.796726283,1.944021795,2.101941508,2.216865312,2.086702045,1.993143365,2.205316948,2.082573094,1.908412485,2.336848132,2.487556241,2.254823116,2.255705309,2.101105592,2.121807164,2.332398818
AT5G43745,2.125365188,2.032543693,2.054606345,1.917804541,2.358864746,2.290859387,2.025917937,1.796695788,1.825469645,2.078035551,2.11487417,2.411710885,2.12113005,2.198207748,2.062509151,2.19003941,2.169373113,1.820170137
AT5G43750,2.081066626,1.868381725,1.924958918,1.940592582,1.912742659,1.901375689,1.850970124,1.864007716,1.807166765,1.866628474,1.929418567,1.90659993,2.070530126,1.87955574,1.952561356,1.772822531,1.983923909,2.011107529
AT5G43760,2.170109373,2.01490477,2.173846981,1.90120961,2.043724726,1.99248374,1.778182253,1.953004365,1.878140268,1.8844492,1.967895899,1.958396873,1.883916901,1.67805359,1.999684237,2.010876101,1.984996851,1.983765166
AT5G43770,2.255278089,2.183677723,2.339412415,2.357114875,2.079332357,2.089187985,2.194241493,1.993003651,2.328119744,2.285739985,2.049805823,2.242275692,2.217967928,2.252264548,2.221595285,2.360066155,2.033545865,2.516879017
AT5G43780,8.209429301,8.226928502,8.699222228,8.433910069,8.406493972,8.605216766,8.47394199,8.414045519,8.534328578,8.646890899,8.37921099,8.194163916,8.520230861,8.495469584,8.6263053,8.645816571,8.681965186,8.411227735
AT5G43790,1.864321583,2.152638823,1.666962842,1.842475945,2.162604104,1.935214624,1.929261691,1.712936165,1.878376315,1.953392052,1.762258138,1.760298126,1.912386023,2.041838141,1.931888252,1.900916986,1.990753954,1.947134311
AT5G43810,3.21463266,2.962023853,2.409360924,2.475713291,3.028382812,2.4487134,2.487122938,3.270294233,3.043136535,2.725544991,2.784747517,2.256324147,2.198545879,3.393831031,2.800834089,3.001814145,2.622371897,2.367298681
AT5G43822,6.347060188,6.654357935,6.999871377,6.672035055,6.665835553,6.684258539,6.772186137,6.84345941,6.526497145,6.683547823,6.670284563,6.550393593,7.005385741,6.703847272,6.727081409,6.706937752,6.643826621,6.717503752
AT5G43830,5.928925109,5.702438948,5.878215318,5.722929093,6.279665339,5.34707004,5.987581558,5.961831455,6.203163094,5.739444924,6.025099104,5.759325681,5.506942376,6.388664725,5.670106638,6.245137625,6.027990694,5.732319071
AT5G43850,7.279659447,7.6322996,7.88850122,7.633013214,7.9144604,8.337508785,7.707522405,7.537002238,7.785618901,8.026346148,7.387661184,7.734687912,8.13436528,7.872925747,8.46119917,7.943789704,7.910646245,8.280837267
AT5G43860,2.03723144,2.311214547,2.162496111,2.271079966,2.307115148,2.096649609,2.009803309,2.189114781,2.181362093,2.531605083,2.030098026,2.227429281,2.235364448,2.264606817,2.314600064,2.418878066,2.471780367,2.201568349
AT5G43870,1.791566322,2.043531165,1.895887696,2.088423382,2.031530564,1.954836988,2.131588161,1.871199446,1.870045131,2.299572762,1.997759965,2.149017479,2.109687498,2.001002614,2.067742975,1.955610565,2.058674094,2.03322976
AT5G43880,2.043865818,2.197205171,2.059320276,2.091047322,1.957842772,2.024042816,2.062674743,1.963194456,2.177837627,1.851490647,2.059320276,2.149017479,2.324863112,2.165238977,2.394601056,2.004710058,2.045629933,1.933129051
AT5G43890,2.293270839,2.117445831,2.018774745,2.033074723,2.050069814,1.993597011,2.064951928,2.260995848,2.03324533,2.36173605,2.255090409,2.148170967,2.106710937,2.421963983,2.118878696,2.189939471,2.164575834,2.278759842
AT5G43900,3.18873629,3.195634058,2.938892616,2.99008961,2.82300789,3.010153561,3.511358044,3.378743107,2.847485473,2.858461528,2.817137114,3.085668278,2.333222859,2.580151858,2.364545282,3.200614645,3.434794516,2.800467857
AT5G43910,4.407858254,4.266333145,5.054541272,4.576731606,4.820220402,4.678452757,4.496043936,4.203067468,4.650943069,3.901905477,3.907059441,4.504743237,4.144010679,3.955306497,4.444243854,4.317397982,4.384399001,4.725533572
AT5G43920,2.995132765,3.389393177,2.532067534,2.343716978,2.734348494,2.195400674,2.605220513,2.656310801,2.290905759,2.66227546,2.559419303,2.580830393,1.855385514,2.477374956,2.180830337,2.99873072,2.717312236,2.526756498
AT5G43930,5.930468781,5.642130607,4.919252304,5.324571363,5.594404466,4.910622432,5.563691394,5.671063017,5.351927718,4.986591684,5.409768858,5.428068711,5.173896751,5.549264842,4.686171481,5.604954305,5.023197353,4.885327488
AT5G43940,8.978248603,8.885415707,9.085975156,8.677753643,8.939374299,8.744040054,8.858901473,9.062975075,9.146249646,8.895636941,8.965071214,8.735102636,9.008160167,9.14475245,8.799723956,9.08577111,8.924509461,8.699660801
AT5G43960,3.952576751,4.182564829,3.352935941,3.793922679,3.719972916,3.543548254,3.927522068,4.566686369,3.810109441,4.003775774,4.184430801,3.593909992,3.496580458,3.929594423,3.520357315,4.521907575,3.645192338,3.373809851
AT5G43970,5.911802576,6.310933302,6.578378774,6.458416811,6.296315288,6.609716329,6.351695597,6.356626257,6.469427239,7.316529513,6.619911108,6.527778862,6.725802045,6.497747443,6.986678457,6.405124691,6.474768363,6.567410832
AT5G43990,2.543468494,2.689384017,2.910786897,2.702259934,2.750227498,2.756358168,2.650308141,2.591950337,2.594682307,2.435729148,2.593652311,2.571327105,2.55015174,2.586682723,2.815748114,3.053517261,2.717312236,2.717310371
AT5G44000,3.289234052,3.378939213,3.909183396,3.558847829,3.381286774,3.556916614,3.747060267,3.730031965,3.293196396,3.781062085,3.424279103,3.399937832,3.332566123,3.166508319,4.150274508,3.078888159,3.226265279,3.137405961
AT5G44010,1.79142353,1.635652187,1.735310947,2.016536241,1.899223791,1.854046283,1.845306704,1.766721589,1.847738751,2.164926213,1.926042468,1.704414255,2.046320026,1.80261257,1.815724928,1.922528585,1.918077174,1.967969303
AT5G44020,2.164714015,2.17922815,2.115553183,1.998761143,2.122026542,2.134725256,2.132919719,2.079347978,2.048934825,2.536329533,2.092978053,2.079937666,2.442015757,2.101197767,2.809917663,2.117461935,2.853213928,1.967282394
AT5G44030,2.291609731,2.381190193,2.2451309,2.211902017,2.17386375,2.283523651,2.173790341,2.100547967,2.357756778,2.053531268,2.201707905,2.39672752,2.557509561,2.413930439,2.184947045,1.916111744,2.328671316,1.988271834
AT5G44060,2.413678512,2.747497999,2.455444241,2.444745369,2.286133436,2.367731802,2.342594646,2.45949659,2.385021831,2.449078349,2.478107114,2.361698662,2.37290235,2.311894809,2.170072251,2.277117921,2.511799364,2.689479511
AT5G44070,4.896658999,5.156014788,5.031367631,5.453568029,5.446569884,5.387882848,5.274927782,5.054447776,4.465262314,4.959012454,4.71194226,4.733437063,4.796862248,4.336607956,4.483738467,4.567757467,4.832416089,4.86586186
AT5G44080,4.723557001,4.780537686,3.811520269,4.814031087,4.610486314,4.455875902,4.04636197,4.519712024,4.348534391,3.945255487,4.520132663,4.116647212,4.603404096,4.540340891,4.326258977,4.284478683,3.279721944,3.982427428
AT5G44090,6.880608015,7.093516191,6.430871295,6.594594853,6.56480437,6.307076874,6.365563838,6.918261671,6.756992625,6.979455858,6.800051786,6.590731168,6.066361647,6.365940873,6.487612858,6.714509597,6.673104436,6.298216226
AT5G44100,1.912515887,1.9876448,2.007670047,1.974802873,1.652129229,1.774100108,1.911771334,1.935917657,1.856715337,1.979977523,1.926614028,1.803195949,1.863902783,1.701041639,1.68362459,1.875467275,1.863959395,1.844160033
