Analysis.Id,0point09G_Rep1,0point09G_Rep2,0point09G_Rep3,0point18G_Rep1,0point18G_Rep2,0point18G_Rep3,0point36G_Rep1,0point36G_Rep2,0point36G_Rep3,0point57G_Rep1,0point57G_Rep2,0point57G_Rep3,0point57G_Rep4,1G_Rep1,1G_Rep2,1G_Rep3,uG_Rep1,uG_Rep2,uG_Rep3,uG_Rep4
AT1G49710,291.2256454,293.1736854,283.9383061,209.1852626,230.5293355,263.2219217,242.4838022,285.3117685,261.4032912,259.6769721,282.5908873,308.8463685,236.9032373,202.7392133,241.9701166,219.1157147,207.3405091,221.0521561,270.6575961,203.68471
AT1G49720,366.2552939,365.9860072,347.6620588,251.5471196,347.0674671,375.0914624,388.7358352,367.7782158,326.0599102,425.6686458,470.1211584,388.3177837,308.063187,407.7034932,435.6308402,332.1536704,353.2502756,299.6965548,372.9377308,295.3477547
AT1G49730,255.6311042,245.4354669,162.5063333,102.1162123,106.7297593,123.7829569,166.034845,47.89564463,114.8833681,194.8566736,109.4586147,58.40913495,148.2235137,104.8474398,125.8213876,202.3697902,137.5475335,201.7472664,122.4305519,106.9650094
AT1G49740,246.7173674,347.7845613,332.2905296,335.9184451,254.2451628,283.373153,345.0099246,241.7882126,350.7456457,358.7188694,258.3742271,359.8332164,359.9481147,304.5902115,272.2824075,489.0560221,301.63415,369.2098375,338.2570324,326.4999029
AT1G49760,1175.151403,1319.624246,1283.657876,1526.247606,1302.779642,1254.348465,1206.767546,1342.813677,1384.394546,1168.923739,1239.724099,1946.826297,1427.831384,1641.646251,1343.463093,1191.912661,1220.121197,1320.36215,1137.461841,1593.492094
AT1G49780,90.99255014,107.6218805,119.1133232,186.4930609,133.0543614,101.5272961,166.4602975,183.3171757,130.8237825,147.5442817,122.9622457,153.9280629,153.3467712,201.8782161,151.3307353,210.4513013,144.965175,160.5009628,126.4372119,154.3938811
AT1G49820,347.8127808,357.679403,323.3210247,369.9090527,347.7806134,366.8401136,349.437309,385.7110611,309.34044,320.3365649,371.5196148,350.9964761,300.2643089,356.442275,342.3133517,306.9488223,355.8813968,302.5066786,358.7889177,300.0938907
AT1G49840,186.0678874,184.6984826,273.1977184,186.5198212,194.9599832,157.7126998,240.2702959,206.535914,220.6597542,247.5431606,212.6039181,173.3549976,223.1289988,224.5467131,230.5939273,314.1485294,263.8625322,335.9190377,173.5940657,263.4332431
AT1G49850,196.1032058,217.6376321,168.3470534,168.9555434,184.4408026,178.0314048,211.6971529,176.4255507,180.359789,201.1397119,216.4592086,273.4455182,158.8589398,215.5745397,215.8005829,185.8181796,201.6314225,214.7665298,235.0989477,234.8920853
AT1G49870,25.39693009,16.64334793,36.54092775,18.45583353,38.37097744,33.28470614,13.28334465,21.63811183,31.11809053,22.32509443,13.80019783,19.4508565,32.88701216,18.26001173,14.40993145,25.98246385,28.30350636,38.46263007,11.7134953,36.71435979
