"","Col0_FLT_Rep1","Col0_FLT_Rep2","Col0_FLT_Rep3","Col0_FLT_Rep4","Col0_FLT_Rep5","Col0_FLT_Rep6","Col0_FLT_Rep7","Col0_FLT_Rep8","Col0_GC_Rep1","Col0_GC_Rep2","Col0_GC_Rep3","Col0_GC_Rep4","Col0_GC_Rep5","Col0_GC_Rep6","Col0_GC_Rep7","Col0_GC_Rep8","Cvi0_FLT_Rep1","Cvi0_FLT_Rep2","Cvi0_FLT_Rep3","Cvi0_FLT_Rep4","Cvi0_FLT_Rep5","Cvi0_FLT_Rep6","Cvi0_GC_Rep1","Cvi0_GC_Rep2","Cvi0_GC_Rep3","Cvi0_GC_Rep4","Cvi0_GC_Rep5","Cvi0_GC_Rep6","Ler0_FLT_Rep1","Ler0_FLT_Rep2","Ler0_FLT_Rep3","Ler0_FLT_Rep4","Ler0_FLT_Rep5","Ler0_FLT_Rep6","Ler0_GC_Rep1","Ler0_GC_Rep2","Ler0_GC_Rep3","Ler0_GC_Rep4","Ler0_GC_Rep5","Ler0_GC_Rep6","Ws2_FLT_Rep1","Ws2_FLT_Rep2","Ws2_FLT_Rep3","Ws2_FLT_Rep4","Ws2_FLT_Rep5","Ws2_FLT_Rep6","Ws2_FLT_Rep7","Ws2_FLT_Rep8","Ws2_GC_Rep1","Ws2_GC_Rep2","Ws2_GC_Rep3","Ws2_GC_Rep4","Ws2_GC_Rep5","Ws2_GC_Rep6","Ws2_GC_Rep7","Ws2_GC_Rep8"
"ATMG00513",12.8999143714015,13.471167108738,13.2168406091814,13.431633713691,12.7802975012195,13.6181870390518,14.0964712066262,13.4362837932361,15.4519743958678,14.5459322196159,14.8527686465272,14.4432826604773,13.3056014097267,13.9021857265792,14.2085546584171,13.3765478243777,13.8394237672562,14.0699142725851,13.8475220478334,13.8036537308227,14.2178154684014,13.95820698871,15.4134816564525,15.3827943711786,15.1771663539417,14.6884267475271,14.5659699794888,14.4927758782283,14.4908274638749,14.1535731787868,13.9275347139304,13.9285356674179,13.9201547144411,13.8280305016382,15.6735579354806,15.4548553459678,15.6136287940547,14.1617032449567,14.8487599128513,14.1489360458523,14.2269577063485,13.8519998842976,13.9980183199986,13.7473160060974,13.9981348911204,13.5720993946345,14.4415686284767,14.4400861278249,15.1855957897473,15.2863393123226,15.2077445772385,15.9017041130056,14.8283229198757,14.6994780058626,14.3700691231843,14.0899552369849
"AT2G07687",12.8136151682301,13.372780060348,13.0444266291488,13.1908850082133,12.586783234225,13.4477244627515,13.3791362150857,12.8274593305715,14.6074991996965,13.7842493973074,14.2173716597861,13.6453986678308,13.2268975328731,13.4423218168209,13.6689282186022,13.3417956406868,13.1168402587708,13.476640788919,13.3021114827238,13.0184279865066,13.4290925197941,13.0193047414076,14.7652403537982,14.7348813797591,14.3878557875789,14.2403547669526,13.9002343808252,13.681762655213,13.8145170944938,13.465510310847,13.4526911328329,13.1070394668427,13.1412924913981,13.1273851759089,14.9359106191406,14.7744814342761,14.8788067977425,13.5753718248226,14.3490877284689,13.4103140769982,13.6463892128683,13.3455003543018,13.4732309998747,13.4231471899437,13.3860106629623,12.9210570493025,14.0327433100414,13.4754976067088,14.6418479609271,14.7902799758098,14.7021960085159,15.2810086771473,14.3370486570384,14.4021612804105,14.0548787501453,14.0736432215577
"ATMG00270",11.3490059224027,11.9551498554041,12.0469624811441,11.8809024468196,10.9236064100183,11.7455448757221,11.1431619695308,11.3495725471601,13.0064006678533,12.3027509175154,12.9014357950623,12.3623537492756,12.2198426020124,11.8199184446716,12.4341126213219,12.5370708965416,12.2696189056861,12.8806896517985,12.3694509443254,12.450710818813,12.8189958287229,12.0070560876598,14.1556398266804,13.9331871078272,13.8135965896585,13.6227909044615,12.9947697510458,12.7169876491475,13.4007686156371,12.868880812011,12.7706038111009,12.5064138199814,12.4629688096459,12.3077098455484,14.2548329144963,14.3757521641854,14.3701437972901,13.1787390405716,14.0164343913614,13.0398246301931,12.6130035223611,11.9235591455616,12.0028188596184,12.4234116975286,12.2051102906173,11.2261995080744,11.8073778702724,12.6637950149093,13.7513187505804,14.084293456534,13.9291953260359,14.0204691171479,13.2350434826936,13.3164418559815,13.3867731728824,13.2106748445559
"ATMG00640",11.0601120033686,11.7455193302001,11.3955206435744,11.4143613650642,10.8112533284068,11.7288519042703,10.339944116422,10.5094925869913,12.7271607103421,12.4055220282258,12.694152694522,12.1640634034669,11.658768941364,10.4151713008144,12.2392883709226,11.3061915368769,11.7210534365265,12.1320866391385,11.8825800915094,10.8897534087244,11.8250891425339,11.1542787260746,13.7380827856617,13.4440773513279,13.1223982188912,12.3943254618226,12.1675334905363,12.1395414459113,12.9286938068993,12.2591629438235,12.0924160163786,11.7099137901704,12.0427585744669,11.7434236718924,13.488256573767,13.7970221677304,13.4121246257415,11.8022115551871,12.2086991574731,11.8597005134747,12.2485760960988,11.4864413953231,11.7345623041663,11.8732366725923,10.4042946616538,10.6339650850762,11.0147952128086,11.9257162867519,13.2688756847875,13.0373913369305,12.8641623108378,13.2401503225065,12.0807906403911,11.73261031164,12.1560870419498,11.7679582193781
"AT2G07707",11.1322437144377,11.7856759462386,11.8124012065927,11.5279847801035,10.991821787089,11.622164331413,10.4345805720962,10.8504226805062,12.6220569780296,11.9073612818155,12.5886304711527,11.8035455767034,11.9081905745915,11.5759529509778,12.0424117483048,12.2447131654019,11.710911602686,12.0936557784858,11.810441144291,11.7210318370826,11.8105305010741,10.998377317151,13.0977051033456,12.957578721129,12.8655687731693,12.8469464232631,12.770775540838,12.2710739072573,12.5440373992479,12.1315379861966,12.0372412453464,11.6349011195965,11.6195421436398,11.507590803073,13.2615342102231,13.3696992474821,13.2689544918054,11.8954960046966,13.1504543484639,12.3258797982756,11.7936223352545,11.5789248955835,11.5971443707595,12.0041979897253,11.3984436514948,10.6376036914806,10.7741046440874,12.1569869972541,12.9499146781697,13.1543420125778,13.0447673708729,13.3586079851434,12.6691734245769,12.6713173957292,12.7980903131837,12.7164536035791
"AT2G43150",9.88539466971195,9.66877656682605,9.29486367857848,9.71292455424144,9.99395264986584,10.127893026773,10.0422650781734,8.99762010586498,11.9722142780459,10.3478472523532,10.4545864845406,10.1759025067259,10.6964791102891,10.0916739731718,10.6716975761047,10.0146130148969,10.7109368092701,10.7104332169705,10.8575527427665,10.9231583517258,10.9091381881237,10.5059696863186,11.4388906677936,12.6356080827927,11.5157746929344,11.434566942686,12.0265849114099,11.8342987117648,10.3675588149865,10.0374915346944,10.2029135935818,10.0899309134529,10.0830081265768,10.0031709794578,11.9226654198477,11.4598884588323,12.6837782359452,10.7503047868303,11.5637729199433,12.1019524244838,10.3837015526927,11.0068080672025,10.885909914768,10.8345468562253,10.5134782373934,11.1851429711128,11.2246229174638,10.6202053691582,11.1628469360143,12.5777293110525,12.0918019666786,12.0209096679486,11.3956090174799,12.0698378337499,11.0936751033834,11.3400340184071
"AT1G70850",10.2769038302527,10.3612085745395,9.75838221895093,10.2423699961936,10.3853225101356,10.4454725464117,8.98372166808588,9.39353896663614,10.8734579501782,11.1160023186449,10.7483371237651,10.9396004657993,11.3388402858188,9.62220136935923,11.0818960178986,10.067824122581,9.58060012103971,9.8399574557153,9.81249077597,8.33984600722052,9.29742907878886,8.98444947796177,11.4832683541921,11.6633403835485,11.4152699352329,10.6794704731646,11.0845760324746,11.3661428282514,9.75809792128351,9.91554560303766,9.68698602137925,9.68798589512569,9.76141835041143,8.8540227738043,11.59945476627,11.7948271237537,11.0837896367092,10.267381326635,10.4411359940742,10.2747584335569,9.6962041342604,9.33641958532832,10.2143288151356,10.0519032365924,8.24183405696066,9.39045493390165,8.62460044465353,9.62111994228128,10.9760714910324,11.5052502105879,10.8824488032147,11.0484760675333,10.1610937605816,9.89473391956979,10.8503043717343,9.47167190244418
"AT4G11320",8.85046084593875,9.02299122584546,8.7699336521277,8.9392511094288,9.0327016573128,9.00717598752891,8.4977323768248,8.54556692603676,10.5530581598277,10.5161839582915,9.96325856770787,10.0904527606437,10.2625729490515,10.2810264260699,10.2369496406586,9.7448956793477,7.34556081820576,7.39409243624216,7.78567440402391,6.87749799440482,8.11236315782125,7.53155787858961,9.81978722509802,9.95081878320905,9.21468486640518,9.96210879990782,9.9554922932647,9.63857672135388,7.40309707156673,7.54876564357186,7.35675708598911,7.3293461095579,7.52310650761329,7.1638827135944,10.3964220117739,10.2278649318401,10.0288667344136,9.78405851028956,10.1378620845874,9.77352361783742,8.30463381056269,8.00900579000358,8.89127816674681,7.96152523644647,7.82682369672864,7.79895286515686,8.56889292594351,7.84009270373623,10.2464376235885,10.3576296564079,9.8000229874693,9.80462610365661,10.2116325510294,10.3429931636345,9.46985697663934,9.27125670812281
"AT5G59780",9.14497114664115,9.3827888371548,8.92452881690027,9.44445033122811,9.07038328569112,9.01545862610801,7.81168207011599,8.59844447208856,10.1668516172285,9.98341142331932,9.82518807023811,9.55586126313587,9.86843432853139,9.64386860622042,9.92006083492242,9.95067306820924,8.26901176870329,8.6553854894174,8.77253853991752,8.1671973100486,8.28623940731032,8.3725318066134,10.1095630062931,10.1420143922547,9.99123548209945,9.95781312879157,9.57829263700077,9.36728951443273,9.05109182084132,9.00314555600847,8.69224975452375,8.5515860132577,8.69206292321336,8.39733874864154,9.7570180277113,9.76278746427967,9.83934933153604,9.11023290800245,9.62167666554104,9.19267072649005,9.17697179368576,9.54670589593215,9.77711733756329,9.61192255091219,8.35145259071508,9.04897928739577,9.3012873130028,9.90327604783932,9.95824758875104,10.8693585529911,10.5159942118742,10.6909112590247,9.70449028518794,10.0947222859979,10.8441259824524,10.9378048305798
"AT3G28550",5.70936880160103,7.03971727404964,6.19230539091517,7.58515775985351,5.47861814176723,7.8277034085784,7.1577940176471,7.20435931573965,9.04667970665759,7.84921021321218,7.61556488638963,6.09887343900208,6.29753929373552,8.05720291973104,8.00479346124513,4.99562856972775,7.41384280640742,7.77700601047531,8.18767623591797,7.22095652870565,8.24469523400266,7.95612103824662,7.37173966692222,8.92474110624921,9.26868424939494,7.10275531309424,8.56148269054033,9.52876923178137,7.86778976193625,5.94131908089581,6.66849602073358,7.32041464249971,6.23991556697016,6.41055199341876,8.8481303080233,8.72287689411882,9.41286440499209,7.59132277694527,8.71143814515137,8.26206869202323,7.22580726604792,7.35858963017931,6.79217584449565,8.05066785807077,8.12319653912284,7.81189266297955,7.66062595880429,7.84009270373623,9.00634469177164,10.5013416832919,10.4399422409985,10.6874537201686,9.24872370055789,10.0934065740251,9.1272441306839,9.5461714107492
